,ax,ay,az,gx,gy,gz,mx,my,mz
11:05:07:87,0.7616272,0.29270935,9.909866,,,,,,
11:05:07:88,0.7975464,0.21609497,9.80452,,,,,,
11:05:07:89,0.90527344,0.13708496,10.192368,,,,,,
11:05:07:90,0.8885193,0.19932556,10.192368,,,,,,
11:05:07:91,0.8382416,0.21369934,9.955353,,,,,,
11:05:07:92,,,,,,,52.49939,-50.849915,-264.75067
11:05:07:93,0.74487305,0.24720764,9.864365,,,,,,
11:05:07:94,0.8334503,0.24003601,9.8715515,,,,,,
11:05:07:95,0.80711365,0.2807312,9.823669,0.037979126,-0.018737793,0.050582886,,,
11:05:07:96,,,,0.053955078,0.04411316,0.051651,,,
11:05:07:97,,,,0.018798828,0.026000977,0.044189453,,,
11:05:07:98,,,,-0.041915894,0.11868286,0.03781128,,,
11:05:07:99,,,,-0.08239746,0.18153381,0.041000366,,,
11:05:08:00,,,,-0.05683899,0.12294006,0.029281616,,,
11:05:08:01,,,,0.026260376,-0.036849976,0.011169434,,,
11:05:08:02,,,,0.042236328,-0.12420654,0.029281616,,,
11:05:08:03,,,,0.05076599,-0.05708313,0.032485962,,,
11:05:08:04,0.8813324,0.3310089,10.096603,0.051818848,-0.025131226,0.03353882,,,
11:05:08:05,0.7759857,0.26158142,10.091812,,,,,,
11:05:08:06,0.79992676,0.3022766,10.108582,,,,,,
11:05:08:07,0.8693695,0.15383911,9.905075,,,,,,
11:05:08:08,0.9124603,0.25679016,9.665649,,,,,,
11:05:08:09,0.9100647,0.30467224,9.826065,,,,,,
11:05:08:10,0.8909149,0.31425476,9.818878,,,,53.55072,-50.549316,-262.95013
11:05:08:11,0.89331055,0.3381958,9.818878,,,,53.700256,-50.100708,-262.8006
11:05:08:12,0.7831726,0.34776306,9.833252,0.051818848,0.012161255,0.034606934,,,
11:05:08:13,,,,-0.02168274,0.152771,0.0473938,,,
11:05:08:14,,,,-0.03126526,0.12294006,0.038864136,,,
11:05:08:15,,,,-0.0035705566,-0.040039062,0.0154418945,,,
11:05:08:16,,,,-0.044052124,0.06541443,-0.009063721,,,
11:05:08:17,0.87416077,0.34059143,9.823669,-0.055770874,0.08459473,-0.009063721,,,
11:05:08:18,0.77838135,0.31903076,9.878738,,,,,,
11:05:08:19,0.7735901,0.34536743,9.933807,,,,52.949524,-47.399902,-261.30066
11:05:08:27,0.6850128,0.29508972,10.04393,,,,,,
11:05:08:28,0.68022156,0.27114868,9.68959,,,,,,
11:05:08:29,0.7831726,0.2591858,10.034363,,,,,,
11:05:08:30,0.7759857,0.20172119,10.206741,,,,52.949524,-50.39978,-263.25073
11:05:08:31,,,,-0.05470276,0.07606506,-0.0048065186,53.700256,-48.599243,-261.30066
11:05:08:32,,,,0.03477478,-0.1252594,-0.015457153,,,
11:05:08:33,,,,-0.07707214,-6.2561035E-4,-0.021850586,,,
11:05:08:34,,,,-3.6621094E-4,-0.06561279,-0.002670288,,,
11:05:08:35,0.84303284,0.23045349,9.84761,,,,,,
11:05:08:36,0.859787,0.26397705,9.864365,-0.0110321045,-0.11248779,-0.018661499,51.750183,-49.349976,-263.5498
11:05:08:38,0.7400818,0.18257141,9.950562,-0.041915894,-0.04963684,-0.025039673,,,
11:05:08:39,,,,-0.046173096,-0.02406311,-0.022918701,54.449463,-49.650574,-264.30054
11:05:08:40,0.6562805,0.12750244,9.936203,-0.04937744,0.007888794,-0.022918701,,,
11:05:08:41,0.67063904,0.14904785,10.003235,-0.04084778,0.015350342,-0.0037384033,52.049255,-49.49951,-262.64954
11:05:08:51,0.7472534,0.1322937,10.077454,,,,,,
11:05:08:52,0.9196472,0.31185913,9.852402,,,,,,
11:05:08:53,0.8813324,0.28552246,9.612976,,,,,,
11:05:08:54,0.804718,0.19692993,9.988861,,,,,,
11:05:08:55,,,,-0.016357422,0.012161255,-0.018661499,,,
11:05:08:56,,,,-0.041915894,4.4250488E-4,-0.014389038,,,
11:05:08:57,,,,0.002822876,-0.0016937256,-0.006942749,52.200317,-48.89984,-264.75067
11:05:08:58,0.8526001,0.18736267,10.051117,,,,53.250122,-48.150635,-263.25073
11:05:08:59,0.7520447,0.14186096,9.828461,0.022003174,-0.014480591,0.0026550293,52.049255,-48.750305,-263.40027
11:05:08:60,,,,0.02305603,-0.016601562,0.005844116,,,
11:05:08:63,0.82388306,0.20172119,9.974503,,,,,,
11:05:08:64,0.82865906,0.14904785,9.751846,0.026260376,0.027069092,0.0037231445,52.799988,-47.999573,-263.69934
11:05:08:65,0.7712097,0.23524475,9.519608,-0.0014343262,0.016418457,0.012237549,50.849915,-48.30017,-263.69934
11:05:08:66,0.883728,0.2591858,9.522003,-0.013153076,0.010025024,0.014373779,,,
11:05:08:67,0.9866791,0.2807312,9.720718,-0.04298401,-0.011276245,0.010101318,53.250122,-50.39978,-262.8006
11:05:08:68,1.0513306,0.28552246,9.888306,-0.05256653,-0.029388428,0.005844116,,,
11:05:08:69,0.96273804,0.26397705,10.178009,-0.03552246,-0.05921936,-0.012268066,54.299927,-49.49951,-264.14948
11:05:08:70,0.94358826,0.21847534,10.271378,6.866455E-4,-0.04750061,-0.018661499,,,
11:05:08:71,0.88612366,0.15144348,10.158859,0.033721924,-0.038986206,-0.018661499,51.600647,-50.250244,-264.14948
11:05:08:72,0.79515076,0.13948059,9.902679,0.041168213,-0.019805908,-0.017593384,,,
11:05:08:73,0.7544403,0.17298889,9.775787,0.017730713,0.013214111,-0.006942749,52.200317,-48.89984,-264.75067
11:05:08:74,0.78556824,0.20651245,9.759018,-0.008895874,0.05050659,0.009048462,,,
11:05:08:75,0.84542847,0.20411682,9.833252,-0.029129028,0.066482544,0.016494751,53.250122,-48.599243,-262.8006
11:05:08:76,0.8813324,0.24003601,9.897888,-0.04084778,0.040908813,0.017562866,,,
11:05:08:77,0.9172516,0.24481201,10.0846405,-0.03552246,0.016418457,0.011169434,52.799988,-49.49951,-264.9002
11:05:08:78,0.90049744,0.24241638,10.166046,-0.009963989,4.4250488E-4,0.009048462,,,
11:05:08:79,0.8909149,0.20890808,10.125336,0.027328491,-0.009155273,0.007980347,53.250122,-48.89984,-262.5
11:05:08:80,0.8478241,0.20411682,9.948166,0.06034851,-0.019805908,0.007980347,,,
11:05:08:81,0.87893677,0.23045349,9.703964,0.06993103,-0.022994995,0.0026550293,51.750183,-50.39978,-263.5498
11:05:08:82,0.8190918,0.23764038,9.61058,0.052886963,-0.028320312,-5.493164E-4,,,
11:05:08:83,0.7975464,0.21369934,9.672836,0.022003174,-0.030456543,5.187988E-4,52.349854,-51.750183,-263.40027
11:05:08:84,0.87176514,0.21847534,9.799728,-0.0014343262,-0.02619934,0.009048462,,,
11:05:08:85,0.8885193,0.1897583,9.940979,-0.004638672,-0.028320312,0.005844116,52.49939,-50.100708,-262.8006
11:05:08:86,0.85739136,0.18736267,10.036758,6.866455E-4,-0.03152466,0.005844116,,,
11:05:08:87,0.7328949,0.13468933,9.979294,0.026260376,-0.027267456,0.0026550293,50.250244,-48.89984,-264.30054
11:05:08:88,0.7328949,0.13708496,9.897888,0.02519226,-0.003829956,0.010101318,,,
11:05:08:89,0.7688141,0.19213867,9.742264,0.0124053955,0.02281189,0.020767212,51.30005,-49.80011,-264.45007
11:05:08:90,0.8119049,0.21369934,9.644104,-0.014221191,0.04411316,0.020767212,,,
11:05:08:91,0.8478241,0.23524475,9.749451,-0.027008057,0.04624939,0.019699097,52.049255,-47.999573,-261.90033
11:05:08:92,0.8214874,0.2807312,9.878738,-0.039794922,0.03878784,0.0069122314,,,
11:05:08:93,0.7688141,0.24241638,10.017593,-0.03126526,0.030258179,0.005844116,52.799988,-50.250244,-262.95013
11:05:08:94,0.7328949,0.17538452,9.94577,0.014541626,0.0057678223,0.010101318,,,
11:05:08:95,0.67303467,0.15383911,9.861969,0.035842896,-0.017669678,0.017562866,52.349854,-48.750305,-261.59973
11:05:08:96,0.6921997,0.18257141,9.754242,0.037979126,-0.042175293,0.020767212,,,
11:05:08:97,0.7759857,0.17778015,9.732681,0.026260376,-0.034713745,0.027145386,53.55072,-49.049377,-262.64954
11:05:08:98,0.859787,0.18257141,9.62735,0.018798828,-0.017669678,0.027145386,,,
11:05:08:99,0.9531555,0.19692993,9.648895,-0.0067596436,0.039855957,0.017562866,50.70038,-49.650574,-263.25073
11:05:09:00,0.9172516,0.2232666,9.617767,-0.03340149,0.05795288,0.0037231445,,,
11:05:09:01,0.79992676,0.1945343,9.680023,-0.05256653,0.04624939,-0.0048065186,52.200317,-48.599243,-263.5498
11:05:09:02,0.65867615,0.10116577,9.876343,-0.057891846,0.024932861,-0.0037384033,,,
11:05:09:03,0.59402466,0.07243347,10.029572,-0.036590576,0.0025634766,0.007980347,52.49939,-49.650574,-262.8006
11:05:09:04,0.6347351,0.041305542,10.098999,-0.012084961,-0.029388428,0.0154418945,,,
11:05:09:05,0.7113495,0.09158325,10.051117,0.0124053955,-0.04536438,0.021820068,49.49951,-50.39978,-261.74927
11:05:09:06,0.780777,0.12031555,9.979294,0.02519226,-0.040039062,0.025024414,,,
11:05:09:07,0.859787,0.15144348,9.888306,0.022003174,-0.03152466,0.025024414,49.49951,-50.39978,-261.74927
11:05:09:08,0.87416077,0.13468933,9.890701,0.009216309,-0.020874023,0.018630981,,,
11:05:09:09,0.8669739,0.13468933,9.857193,-0.0110321045,-0.0016937256,0.013305664,52.049255,-49.049377,-262.64954
11:05:09:10,0.8262634,0.12750244,9.809296,-0.027008057,0.016418457,0.011169434,,,
11:05:09:11,0.8669739,0.15623474,9.914642,-0.044052124,0.028137207,0.011169434,51.750183,-50.39978,-263.5498
11:05:09:12,0.84303284,0.19932556,9.996048,-0.046173096,0.035583496,0.010101318,,,
11:05:09:13,0.8262634,0.18017578,9.991257,-0.030197144,0.03665161,0.007980347,52.949524,-50.39978,-263.25073
11:05:09:14,0.81669617,0.15144348,9.931412,-0.012084961,0.019607544,0.0069122314,,,
11:05:09:15,0.8669739,0.20651245,9.818878,-0.0025024414,-0.013412476,0.005844116,52.799988,-47.999573,-262.95013
11:05:09:16,0.82865906,0.24003601,9.773392,-0.0025024414,-0.019805908,5.187988E-4,,,
11:05:09:17,0.8262634,0.21847534,9.720718,-0.0035705566,-0.010223389,0.0015869141,53.250122,-51.150513,-263.25073
11:05:09:18,0.87654114,0.20172119,9.730301,-0.012084961,-0.018737793,-0.0037384033,,,
11:05:09:19,0.9028778,0.2232666,9.919434,-0.024871826,-0.04750061,-0.014389038,51.449585,-49.650574,-261.00006
11:05:09:20,0.90527344,0.24720764,10.063095,-0.022750854,-0.048568726,-0.026107788,,,
11:05:09:21,0.859787,0.18257141,10.079849,-3.6621094E-4,-0.0059509277,-0.033569336,52.349854,-49.80011,-262.35046
11:05:09:22,0.85739136,0.17538452,9.936203,0.019866943,0.018539429,-0.03996277,,,
11:05:09:23,0.780777,0.18496704,9.806915,0.016677856,-6.2561035E-4,-0.043151855,53.55072,-49.80011,-262.35046
11:05:09:24,0.70895386,0.15144348,9.799728,-0.0025024414,-0.025131226,-0.04208374,,,
11:05:09:25,0.7137451,0.15144348,9.806915,-0.023803711,-0.032592773,-0.041030884,51.750183,-49.349976,-263.25073
11:05:09:26,0.725708,0.14186096,9.981689,-0.025939941,-0.02406311,-0.033569336,,,
11:05:09:27,0.70895386,0.15383911,10.017593,-0.018478394,-0.025131226,-0.03463745,51.449585,-48.599243,-262.8006
11:05:09:28,0.6778259,0.12031555,9.974503,-0.0014343262,-0.028320312,-0.03463745,,,
11:05:09:29,0.586853,0.09397888,9.929016,0.009216309,-0.038986206,-0.029312134,51.750183,-50.100708,-262.8006
11:05:09:30,0.562912,0.10116577,9.850006,0.0124053955,-0.046432495,-0.019714355,,,
11:05:09:31,0.67303467,0.10595703,9.802124,0.002822876,-0.05496216,-0.011199951,,,
11:05:09:32,0.6754303,0.15383911,9.730301,-0.015289307,-0.05496216,-0.0037384033,52.049255,-50.250244,-262.35046
11:05:09:33,0.6898041,0.12510681,9.759018,-0.03340149,-0.042175293,0.0026550293,52.799988,-50.549316,-263.40027
11:05:09:34,0.7831726,0.16342163,9.816483,-0.048309326,-0.032592773,0.005844116,,,
11:05:09:35,0.84542847,0.13708496,9.907471,-0.057891846,-0.025131226,0.004776001,52.049255,-50.250244,-262.95013
11:05:09:36,0.8310547,0.21847534,9.921829,-0.05256653,-0.011276245,0.005844116,,,
11:05:09:37,0.82865906,0.20172119,9.917038,-0.03552246,-0.022994995,0.007980347,50.99945,-51.150513,-262.8006
11:05:09:38,0.7831726,0.19932556,9.929016,-0.018478394,-0.06561279,0.004776001,,,
11:05:09:39,0.7640228,0.19692993,9.816483,-0.008895874,-0.09223938,-5.493164E-4,51.750183,-48.89984,-261.74927
11:05:09:40,0.7137451,0.15144348,9.658463,-0.009963989,-0.09223938,0.0015869141,,,
11:05:09:41,0.71614075,0.12031555,9.62735,-0.036590576,-0.07093811,0.004776001,50.849915,-49.049377,-263.40027
11:05:09:42,0.72810364,0.14425659,9.670441,-0.07281494,-0.03791809,0.007980347,,,
11:05:09:43,0.7712097,0.17778015,9.881134,-0.08772278,-0.025131226,0.011169434,52.049255,-49.049377,-265.19928
11:05:09:44,0.7640228,0.20651245,9.969711,-0.081329346,-0.025131226,0.005844116,,,
11:05:09:45,0.7544403,0.23524475,10.036758,-0.06428528,-0.03578186,-0.006942749,,,
11:05:09:46,0.7041626,0.10835266,9.943375,-0.051498413,-0.028320312,-0.011199951,51.750183,-48.89984,-262.8006
11:05:09:47,0.7424774,0.12271118,9.900284,-0.038726807,-0.020874023,-5.493164E-4,51.449585,-50.39978,-262.04987
11:05:09:48,0.6778259,0.14186096,9.794937,-0.028076172,-0.03152466,-0.002670288,,,
11:05:09:49,0.63713074,0.14665222,9.821274,-0.022750854,-0.062408447,-0.006942749,52.049255,-49.80011,-262.64954
11:05:09:50,0.6323395,0.07722473,9.823669,-0.016357422,-0.09011841,-0.002670288,,,
11:05:09:51,0.69937134,0.05328369,9.785355,-0.027008057,-0.09437561,0.0015869141,51.600647,-49.80011,-262.35046
11:05:09:52,0.7352905,0.07003784,9.881134,-0.03126526,-0.081588745,0.004776001,,,
11:05:09:53,0.7113495,0.07722473,9.876343,-0.03552246,-0.07733154,0.0069122314,,,
11:05:09:54,0.72810364,0.11552429,9.830856,-0.050445557,-0.06561279,0.0037231445,50.70038,-49.349976,-262.04987
11:05:09:55,0.82388306,0.165802,9.900284,-0.067489624,-0.052825928,0.0037231445,51.449585,-48.89984,-263.5498
11:05:09:56,0.9244385,0.161026,9.957748,-0.07388306,-0.022994995,-0.002670288,,,
11:05:09:57,0.88612366,0.15863037,10.010422,-0.07281494,-0.0027618408,-0.016525269,51.30005,-49.49951,-263.40027
11:05:09:58,0.8334503,0.12510681,10.055908,-0.06535339,-0.007019043,-0.027175903,,,
11:05:09:59,0.7831726,0.0748291,10.113373,-0.046173096,-0.032592773,-0.025039673,53.100586,-49.49951,-262.35046
11:05:09:60,0.82388306,0.09637451,10.132523,-0.023803711,-0.053894043,-0.022918701,,,
11:05:09:61,0.859787,0.08441162,10.106186,0.0017547607,-0.060287476,-0.022918701,52.349854,-49.049377,-262.64954
11:05:09:62,0.90766907,0.10116577,9.972107,0.014541626,-0.02619934,-0.022918701,,,
11:05:09:63,1.0106201,0.08441162,9.861969,0.0049591064,0.051574707,-0.027175903,,,
11:05:09:64,0.9675293,0.12989807,9.917038,-0.019546509,0.12826538,-0.033569336,51.750183,-48.150635,-263.25073
11:05:09:65,1.2428589,0.024551392,9.96492,-0.030197144,0.12719727,-0.060195923,52.200317,-48.89984,-262.04987
11:05:09:66,0.95077515,0.20890808,9.897888,-0.029129028,0.12187195,-0.10493469,,,
11:05:09:67,0.9316101,0.17778015,9.864365,-0.023803711,0.152771,-0.113464355,50.70038,-49.650574,-261.30066
11:05:09:68,0.8621826,0.12750244,9.766205,-0.036590576,0.15489197,-0.10920715,,,
11:05:09:69,0.91485596,-0.11192322,9.830856,-0.057891846,0.10696411,-0.113464355,,,
11:05:09:70,0.938797,-0.131073,9.842819,-0.079208374,0.113357544,-0.113464355,52.349854,-47.7005,-262.64954
11:05:09:71,0.9244385,0.0030059814,10.003235,-0.08558655,0.14318848,-0.10281372,,,
11:05:09:72,0.85739136,0.05088806,10.063095,-0.07814026,0.17939758,-0.10493469,50.70038,-50.849915,-262.04987
11:05:09:73,0.8885193,0.043701172,10.058304,-0.05470276,0.16342163,-0.10600281,,,
11:05:09:74,0.9818878,-0.011367798,9.751846,-0.028076172,0.14744568,-0.10813904,51.30005,-49.49951,-262.35046
11:05:09:75,1.0704803,0.017364502,9.328064,-0.012084961,0.16874695,-0.115600586,,,
11:05:09:76,1.1542816,0.08918762,9.09343,-0.046173096,0.19432068,-0.13264465,50.99945,-47.850037,-261.74927
11:05:09:77,1.2045593,0.10595703,8.97612,-0.10583496,0.21348572,-0.15180969,,,
11:05:09:80,1.3482056,0.07243347,9.306519,-0.30929565,0.3061676,-0.24662781,50.99945,-48.89984,-261.74927
11:05:09:81,1.1829987,0.08201599,9.550735,-0.33380127,0.26461792,-0.2775116,,,
11:05:09:82,0.87416077,0.05088806,9.876343,-0.32954407,0.20603943,-0.29562378,52.049255,-48.750305,-261.59973
11:05:09:83,0.6251526,-0.059249878,10.087036,-0.29652405,0.1101532,-0.28816223,,,
11:05:09:84,0.5174103,-0.17176819,10.355179,-0.27095032,0.056900024,-0.2775116,52.799988,-48.750305,-260.85052
11:05:09:85,0.5461426,-0.18614197,10.434189,-0.1953125,-0.051757812,-0.24128723,,,
11:05:09:86,,,,-0.15377808,-0.095443726,-0.2263794,,,
11:05:09:89,0.9603424,0.14186096,9.897888,,,,,,
11:05:09:90,1.4535522,0.47705078,9.533966,-0.06642151,-0.04750061,-0.15713501,51.750183,-47.850037,-262.04987
11:05:09:91,1.4439697,0.5273285,9.519608,-0.106903076,-0.007019043,-0.17738342,,,
11:05:09:92,1.3266602,0.4985962,9.462143,-0.13246155,0.03239441,-0.20614624,53.55072,-46.499634,-262.95013
11:05:09:93,1.2141266,0.46269226,9.538757,-0.14950562,0.037719727,-0.22424316,,,
11:05:09:94,0.9818878,0.34536743,9.53157,-0.14205933,0.02281189,-0.22531128,51.600647,-45.44983,-262.95013
11:05:09:95,0.91485596,0.32621765,9.433411,-0.12501526,-0.003829956,-0.21147156,,,
11:05:09:96,0.87893677,0.4172058,9.340042,-0.12606812,-0.015548706,-0.2029419,53.700256,-46.350098,-262.5
11:05:09:97,0.87416077,0.5081787,9.272995,-0.1356659,-0.036849976,-0.19015503,,,
11:05:09:98,,,,-0.15164185,-0.044311523,-0.19015503,53.849792,-46.20056,-263.40027
11:05:09:99,0.8526001,0.59677124,9.383133,-0.20491028,-0.040039062,-0.19015503,,,
11:05:10:00,0.7185364,0.63027954,9.529175,-0.25283813,-0.019805908,-0.19442749,53.849792,-47.999573,-263.40027
11:05:10:01,0.59402466,0.6494446,9.742264,-0.27841187,-0.017669678,-0.18910217,,,
11:05:10:02,0.51023865,0.68055725,9.957748,-0.2848053,-0.020874023,-0.18057251,53.849792,-46.949768,-261.59973
11:05:10:03,0.42404175,0.6733856,10.010422,-0.27520752,-0.013412476,-0.16992188,,,
11:05:10:04,0.15350342,0.62550354,10.166046,-0.23686218,-0.011276245,-0.12411499,53.100586,-46.949768,-262.35046
11:05:10:05,0.11997986,0.6446533,10.197159,-0.20491028,-0.041107178,-0.078308105,,,
11:05:10:06,0.20857239,0.7140808,10.175613,-0.18147278,-0.04750061,-0.05593872,55.05066,-47.250366,-262.64954
11:05:10:07,0.34742737,0.8122406,9.914642,-0.104766846,-0.042175293,0.0026550293,,,
11:05:10:08,0.41685486,0.8984375,9.761414,-0.090927124,-0.041107178,0.011169434,52.049255,-46.499634,-262.64954
11:05:10:09,0.6347351,1.0947571,9.502838,-0.08558655,-0.048568726,0.020767212,,,
11:05:10:10,0.7927551,1.2001038,9.522003,-0.12394714,-0.060287476,0.0037231445,52.200317,-45.599365,-262.5
11:05:10:11,0.8526001,1.1713715,9.569885,-0.13352966,-0.04963684,-0.006942749,,,
11:05:10:12,0.68740845,1.1426392,9.727905,-0.15483093,4.4250488E-4,-0.037826538,55.05066,-46.949768,-262.95013
11:05:10:13,0.55332947,1.0827942,9.881134,-0.15483093,0.013214111,-0.04421997,,,
11:05:10:14,0.48150635,1.0061798,10.065475,-0.12820435,0.023864746,-0.03463745,55.05066,-46.499634,-262.64954
11:05:10:15,0.39530945,0.98223877,10.120544,-0.08772278,0.019607544,-0.019714355,,,
11:05:10:16,0.38334656,0.98461914,9.957748,-0.053634644,0.007888794,-0.006942749,53.99933,-46.350098,-262.8006
11:05:10:17,0.37376404,1.0301208,9.782974,-0.050445557,0.01109314,0.012237549,,,
11:05:10:18,0.48869324,1.0540619,9.636917,-0.07707214,0.023864746,0.031417847,55.200195,-46.350098,-262.8006
11:05:10:19,0.60121155,1.0923615,9.672836,-0.11116028,0.051574707,0.038864136,,,
11:05:10:20,0.6323395,1.1378479,9.706345,-0.12606812,0.07713318,0.03781128,55.799866,-46.949768,-262.35046
11:05:10:21,0.6538849,1.2144623,9.909866,-0.14631653,0.11122131,0.031417847,,,
11:05:10:22,0.61079407,1.2024994,10.067871,-0.13459778,0.14212036,0.023956299,55.34973,-46.20056,-262.35046
11:05:10:23,0.5916443,1.1618042,10.130127,-0.104766846,0.13146973,0.025024414,,,
11:05:10:24,0.57966614,1.1665802,10.12294,-0.069610596,0.08566284,0.023956299,55.34973,-46.949768,-261.90033
11:05:10:25,0.45516968,1.125885,10.110977,-0.024871826,0.04197693,0.029281616,,,
11:05:10:26,0.42643738,1.0899658,9.950562,0.0038909912,0.023864746,0.04525757,55.65033,-44.85016,-262.5
11:05:10:27,0.3713684,1.0516663,9.929016,0.018798828,0.02067566,0.07295227,,,
11:05:10:28,0.41207886,1.0540619,9.943375,0.02519226,0.029205322,0.10171509,54.299927,-46.499634,-263.40027
11:05:10:29,0.5293884,1.0827942,9.909866,0.031585693,0.047302246,0.11982727,,,
11:05:10:30,0.67063904,1.0756073,9.840424,0.020935059,0.07287598,0.12835693,55.9494,-46.650696,-261.30066
11:05:10:31,0.7520447,1.0756073,9.88591,0.006011963,0.10803223,0.13793945,,,
11:05:10:32,0.9699249,1.1067352,9.929016,-0.0025024414,0.12187195,0.13475037,55.34973,-47.7005,-261.90033
11:05:10:33,1.0920258,1.0827942,10.063095,-0.005706787,0.12719727,0.123031616,,,
11:05:10:34,1.1638489,1.0803986,10.139709,0.002822876,0.13252258,0.09320068,56.399536,-48.150635,-260.24933
11:05:10:35,1.235672,1.0732117,10.089432,0.007080078,0.117614746,0.07827759,,,
11:05:10:36,1.254837,0.95111084,10.072662,-0.009963989,0.039855957,0.025024414,57.600403,-46.949768,-260.85052
11:05:10:37,1.3314514,0.7930908,10.094208,-0.015289307,0.0014953613,0.009048462,,,
11:05:10:38,1.5708618,0.72605896,10.321655,-0.069610596,-0.29890442,-0.07191467,56.84967,-46.949768,-260.0998
11:05:10:39,1.2500458,0.74520874,11.018372,-0.08665466,-0.4427185,-0.12837219,,,
11:05:10:40,1.3075104,0.36932373,11.794098,-0.0110321045,-0.3681488,-0.13264465,56.5506,-48.30017,-261.90033
11:05:10:41,1.2285004,0.06524658,12.3615265,0.09869385,-0.25949097,-0.12944031,,,
11:05:10:42,1.0273895,-0.26992798,12.596161,0.19244385,-0.17745972,-0.111328125,56.5506,-48.30017,-261.90033
11:05:10:43,1.0513306,-0.21965027,12.718262,0.2829895,-0.09863281,-0.064453125,,,
11:05:10:44,1.2045593,-0.10952759,12.806839,0.35968018,-0.014480591,-0.043151855,56.100464,-46.499634,-262.35046
11:05:10:45,0.9818878,0.010192871,13.0295105,0.42573547,-0.0059509277,-0.04208374,,,
11:05:10:46,0.6778259,0.15623474,13.18512,0.5141449,-0.018737793,-0.03996277,55.34973,-46.949768,-261.1496
11:05:10:47,0.44319153,0.2232666,13.28569,0.6217346,-0.021942139,-0.010131836,,,
11:05:10:48,0.720932,0.16342163,13.359909,0.7474365,-0.09863281,0.031417847,56.84967,-47.7005,-260.85052
11:05:10:49,0.7472534,0.2591858,12.639252,0.8720856,-0.17852783,0.062301636,,,
11:05:10:50,0.76641846,0.36453247,12.016754,0.9146881,-0.18811035,0.071899414,57.15027,-47.850037,-259.50012
11:05:10:51,0.7233124,0.5632477,11.597778,0.9636841,-0.1678772,0.099594116,,,
11:05:10:52,0.83584595,0.73083496,11.219482,0.94664,-0.19024658,0.12835693,57.15027,-47.399902,-260.69946
11:05:10:53,0.94358826,0.8194275,11.494827,0.8965759,-0.16255188,0.13687134,,,
11:05:10:54,1.1375122,0.7044983,11.748611,0.8731384,-0.1252594,0.1304779,55.9494,-48.150635,-260.24933
11:05:10:55,1.0585022,0.53930664,11.296097,0.8571625,0.018539429,0.11024475,,,
11:05:10:56,0.90766907,0.43156433,10.462921,0.7889862,0.2784729,0.097457886,56.84967,-50.250244,-259.3506
11:05:10:57,0.75683594,0.5153656,9.670441,0.64624023,0.5011139,0.08999634,,,
11:05:10:58,0.60121155,0.65182495,9.081467,0.44171143,0.6545105,0.08041382,56.100464,-50.250244,-257.85065
11:05:10:59,0.5581207,0.7428131,9.059921,0.23397827,0.7567749,0.08148193,,,
11:05:10:60,0.27799988,0.93673706,9.845215,0.10295105,0.6811371,0.076156616,55.65033,-51.150513,-258.7494
11:05:10:61,0.14631653,0.69493103,10.089432,0.10083008,0.47447205,0.085739136,,,
11:05:10:62,0.08885193,0.7188721,10.671219,0.15942383,0.2039032,0.12728882,56.700134,-51.89972,-256.95038
11:05:10:63,0.18940735,0.62550354,11.01358,0.29789734,-0.12420654,0.19332886,,,
11:05:10:64,0.34742737,0.4938202,10.819656,0.47366333,-0.40542603,0.2561798,56.100464,-50.99945,-256.3507
11:05:10:65,0.5844574,0.35494995,9.859589,0.62387085,-0.58651733,0.2987976,,,
11:05:10:66,0.5293884,0.22566223,9.024002,0.69737244,-0.6238098,0.31263733,,,
11:05:10:67,0.54374695,0.07243347,8.080688,0.6920471,-0.50024414,0.34353638,57.600403,-51.30005,-256.79932
11:05:10:68,0.71614075,0.017364502,7.2139893,0.66116333,-0.38305664,0.36590576,,,
11:05:10:69,0.8382416,-0.08558655,6.5316467,0.46194458,0.007888794,0.41384888,56.100464,-52.049255,-258.59985
11:05:10:70,0.8478241,-0.6482239,6.134201,0.25741577,0.24012756,0.43408203,56.5506,-52.799988,-256.3507
11:05:10:71,0.40968323,-0.16937256,6.481369,0.045440674,0.38819885,0.47669983,,,
11:05:10:72,0.27320862,0.20411682,6.809372,-0.10902405,0.43293762,0.48841858,55.200195,-53.100586,-256.64978
11:05:10:73,0.31629944,0.18257141,7.2139893,-0.20170593,0.40097046,0.48947144,,,
11:05:10:74,0.5006561,0.03173828,7.6664886,-0.21875,0.35090637,0.48735046,55.9494,-51.600647,-258.00018
11:05:10:75,0.58924866,-0.19093323,8.0256195,-0.19424438,0.07713318,0.4042511,,,
11:05:10:76,0.45516968,-0.33457947,7.996887,-0.15483093,-0.050689697,0.33288574,56.399536,-51.600647,-258.7494
11:05:10:77,0.30433655,-0.42555237,7.975342,-0.12820435,-0.0741272,0.2892151,,,
11:05:10:78,0.36418152,-0.33218384,8.114212,-0.10902405,-0.10395813,0.2561798,55.05066,-52.049255,-255.29938
11:05:10:79,0.40489197,-0.10952759,8.423065,-0.07388306,-0.27120972,0.16563416,,,
11:05:10:80,0.5126343,0.22087097,8.605026,-0.005706787,-0.5673523,0.052719116,55.200195,-51.89972,-255.90057
11:05:10:81,0.44319153,0.2519989,8.54277,0.042236328,-0.73139954,-0.04421997,,,
11:05:10:82,0.33546448,-0.061645508,8.260254,0.05821228,-0.78359985,-0.11026001,56.399536,-52.65045,-256.95038
