,ax,ay,az,gx,gy,gz,mx,my,mz
11:05:39:23,-0.21760559,-0.059249878,7.0775146,0.29045105,-0.11035156,0.4234314,,,
11:05:39:24,-0.22000122,0.12271118,7.264267,0.24250793,-0.16574097,0.39360046,21.000671,-29.400635,-261.1496
11:05:39:25,-0.22000122,0.161026,7.6497345,0.2084198,-0.20515442,0.3733673,,,
11:05:39:26,-0.1242218,0.17538452,7.956192,0.19137573,-0.2190094,0.36483765,20.700073,-29.400635,-261.1496
11:05:39:27,0.08885193,0.24720764,8.346451,0.19030762,-0.22219849,0.35632324,,,
11:05:39:28,0.19180298,0.4076233,8.585861,0.20523071,-0.21794128,0.3403473,21.600342,-32.850647,-261.00006
11:05:39:29,0.34503174,0.52493286,8.784592,0.22865295,-0.2232666,0.307312,,,
11:05:39:30,0.53178406,0.5440979,9.246658,0.259552,-0.25949097,0.25724792,22.349548,-30.299377,-261.00006
11:05:39:31,0.57247925,0.49142456,9.40947,0.29682922,-0.25416565,0.19972229,,,
11:05:39:32,0.44558716,0.48423767,9.459747,0.32772827,-0.19024658,0.14859009,19.799805,-30.599976,-261.30066
11:05:39:33,0.4001007,0.43156433,9.383133,0.3426361,-0.13058472,0.10598755,,,
11:05:39:34,0.32588196,0.3166504,9.313705,0.33518982,-0.093307495,0.05697632,21.749878,-31.64978,-261.59973
11:05:39:35,0.23490906,0.08441162,9.234695,0.29896545,-0.06561279,0.009048462,,,
11:05:39:36,0.1726532,-0.16459656,9.256241,0.24143982,-0.032592773,-0.025039673,21.44928,-32.699585,-259.3506
11:05:39:37,0.20617676,-0.35372925,9.438202,0.165802,0.012161255,-0.031433105,,,
11:05:39:38,0.30433655,-0.36331177,9.641708,0.12638855,0.031326294,-0.029312134,,,
11:05:39:39,0.4001007,-0.427948,9.981689,0.024124146,0.066482544,-0.03463745,21.299744,-30.599976,-259.95026
11:05:39:40,0.53178406,-0.49978638,10.194763,-0.024871826,0.06008911,-0.04208374,,,
11:05:39:41,0.7113495,-0.57640076,10.362366,-0.055770874,0.03453064,-0.052749634,20.100403,-32.099915,-259.95026
