,ax,ay,az,gx,gy,gz,mx,my,mz,a_total,g_total,m_total,lat,long
13:03:23:30,-0.06437683,-0.7056732,9.241882,0.007080078,-0.017669678,-0.043151855,55.200195,-48.599243,-263.25073,9.269007602940192,0.04716383800170204,273.3311083534839,44.4349375,26.0476015
13:03:23:31,-0.0332489,-0.67456055,9.304123,-0.032333374,-0.025131226,-0.019714355,55.15035,-48.74928766666667,-262.80059666666665,9.328603444465656,0.04544976773926328,272.9144844937559,44.43493749999999,26.047601574086652
13:03:23:32,0.19898987,-0.63145447,9.462143,-0.112228392,-0.0038223270000000004,0.019699097500000002,55.100505,-48.899332333333334,-262.3504633333333,9.485277110790943,0.12361031200204552,272.4978606340279,44.43493749999999,26.047601648173302
13:03:23:33,0.33546448,-0.6194916,9.529175,-0.19212341,0.017486572,0.05911255,55.05066,-49.049377,-261.90033,9.555180921386954,0.20177085626482774,272.0812367742999,44.43493749999998,26.047601722259955
13:03:23:34,0.36418152,-0.5907593,9.601013,-0.22407532,0.021743774,0.06550598,55.05066,-48.899840999999995,-262.79983500000003,9.626062297544879,0.23446444113473983,272.92059256203083,44.43493749999998,26.04760179634661
13:03:23:35,0.31869507,-0.58836365,9.876343,-0.27627563,0.012161255,0.08255005,55.05066,-48.750305,-263.69934,9.89898426031341,0.2886011618307771,273.75994834976177,44.434937499999975,26.047601870433258
13:03:23:36,0.39291382,-0.59794617,10.441376,-0.23899841,-0.038986206,0.097457886,53.100586,-49.80011,-263.69934,10.465861343699364,0.2610329553607964,273.5636399560276,44.434937499999975,26.04760194451991
13:03:23:37,0.36418915,-0.62906647,10.660446499999999,-0.164962767,-0.098640443,0.094795228,53.100586,-48.899841499999994,-263.92440999999997,10.685275881525829,0.23275805196652052,273.6198437743951,44.43493749999997,26.047602018606565
13:03:23:38,0.33546448,-0.66018677,10.879517,-0.090927124,-0.15829468,0.09213257,53.100586,-47.999573,-264.14948,10.904690419352294,0.20448314857224464,273.6760475927627,44.43493749999996,26.047602092693214
13:03:23:39,0.23490906,-0.69610596,10.87233,0.052886963,-0.26055908,0.095336914,53.100586,-47.999573,-263.549805,10.897123721556877,0.28244856557761655,273.0973373392935,44.43493749999996,26.047602166779868
13:03:23:40,0.24926758,-0.77272034,10.10379,0.22439575,-0.3436432,0.14007568,53.100586,-47.999573,-262.95013,10.13636046194041,0.43366496013831335,272.5186270858244,44.434937499999954,26.04760224086652
13:03:23:41,0.32588196,-0.7272339,9.902679,0.24464417,-0.36175537,0.16244507,52.950287,-48.374939,-262.95013,9.934692726712973,0.46594647590268423,272.556050331995,44.434937499999954,26.047602314953174
13:03:23:42,0.65148926,-0.56921387,9.617767,0.24783325,-0.3713379,0.18374634,52.799988,-48.750305,-262.95013,9.656597990596104,0.48277932147656044,272.5934735781656,44.43493749999995,26.047602389039824
13:03:23:43,1.0465393,-0.3585205,9.522003,0.19829559000000002,-0.328727725,0.19333649,52.874756,-48.300171,-262.875365,9.586048330118816,0.43189648173006057,272.4560492626407,44.43493749999995,26.047602463126477
13:03:23:44,1.2500458,-0.2675476,9.502838,0.14875793,-0.28611755,0.20292664,52.949524,-47.850037,-262.8006,9.588437113242565,0.38101364198356075,272.31862494711584,44.43493749999994,26.04760253721313
13:03:23:45,1.3362274,-0.14543152,9.466934,0.06781006,-0.20835876,0.17095947,52.5749205,-48.9753725,-263.55057,9.561877083077164,0.2779185447008207,273.1718387998882,44.43493749999993,26.04760261129978
13:03:23:46,1.230896,-0.34654236,9.850006,-0.0110321045,-0.10395813,0.1177063,52.200317,-50.100708,-264.30054,9.93266403187616,0.1574286288528418,274.02505265266046,44.43493749999993,26.047602685386433
13:03:23:47,1.1494904,-0.59555054,10.132523,-0.03765869,-0.027267456,0.06976318,52.8755185,-50.325012,-263.99994000000004,10.214892606920323,0.08383670063248216,273.9068787272071,44.434937499999926,26.047602759473087
13:03:23:48,1.15786745,-0.58118439,10.179207000000002,-0.029129028,-0.03791809,0.05911255,53.55072,-50.549316,-263.69934,10.261334541840432,0.07603009528453443,273.78870480175374,44.434937499999926,26.047602833559736
13:03:23:49,1.1662445,-0.56681824,10.225891,0.070999146,-0.1721344,0.038864136,53.325653,-49.424743,-264.074705,10.30777647676054,0.19021448804735092,273.9038577085171,44.43493749999992,26.04760290764639
13:03:23:50,1.0992126,-0.49499512,10.204346,0.17326355,-0.31488037,0.0069122314,53.100586,-48.30017,-264.45007,10.275308549943333,0.35946861352956333,274.0190106152805,44.43493749999992,26.047602981733043
13:03:23:51,1.1303406,-0.45428467,10.216324,0.22546387,-0.38412476,-0.011199951,52.950287,-48.6747735,-263.1752,10.288698678957479,0.4455459873266024,272.8269038350354,44.43493749999991,26.047603055819692
13:03:23:52,1.1949768,-0.427948,10.249832,0.3575592,-0.50982666,-0.05168152,52.799988,-49.049377,-261.90033,10.32812495429186,0.62485421040504,271.6347970547904,44.434937499999904,26.047603129906346
13:03:23:53,1.259613,-0.49020386,10.2211,0.45343018,-0.55882263,-0.06340027,52.450053,-49.49951133333333,-262.6002,10.31008292615185,0.722427334872527,272.3247189010795,44.434937499999904,26.047603203993
13:03:23:54,1.3003235,-0.4925995,10.072662,0.49710083,-0.5449829,-0.0740509,52.100118,-49.94964566666667,-263.30007,10.168186428183567,0.7413495344774345,273.01464074736856,44.4349374999999,26.04760327807965
13:03:23:55,1.3577881,-0.2172699,9.5746765,0.5471802,-0.3244629,-0.16992188,51.750183,-50.39978,-263.99994,9.672911909740515,0.6584495349312538,273.70456259365767,44.4349374999999,26.047603352166302
13:03:23:56,0.96513367,-0.13346863,9.37117,0.5343933,-0.2509613,-0.21253967,50.100708,-49.80011,-263.40027,9.421683716038324,0.6274797881257124,272.7083316185742,44.43493749999989,26.047603426252955
13:03:23:57,0.623962405,-0.163391115,9.146110499999999,0.5221405,-0.215278625,-0.173652645,51.300049,-50.4753115,-263.475035,9.17465446389232,0.5923085320148325,273.1304960080603,44.43493749999989,26.047603500339605
13:03:23:58,0.28279114,-0.1933136,8.921051,0.5098877,-0.17959595,-0.13476562,52.49939,-51.150513,-263.5498,8.927625211746317,0.5571372759039526,273.5526603975463,44.43493749999988,26.047603574426258
13:03:23:59,0.20378113,-0.19570923,8.786972,0.46194458,-0.17745972,-0.016525269,52.49939,-50.90026866666666,-263.04982333333334,8.79151328159352,0.4951341552845826,273.0243576066396,44.434937499999876,26.04760364851291
13:03:23:60,0.11039734,-0.04008484,8.523621,0.42359924,-0.16680908,0.052719116,52.49939,-50.650024333333334,-262.54984666666667,8.524430146274758,0.45830218250718097,272.4960548157329,44.434937499999876,26.04760372259956
13:03:23:61,0.3282776,0.18257141,8.382355,0.18391418,0.026000977,0.33181763,52.49939,-50.39978,-262.04987,8.390767178776692,0.3802675584228082,271.96775202482627,44.43493749999987,26.047603796686214
13:03:23:62,0.4982605,0.31903076,8.267441,0.09336853,0.113357544,0.3722992,50.849915,-50.99945,-262.95013,8.288584006943974,0.40021782755983376,272.6342396376996,44.43493749999987,26.047603870772868
13:03:23:63,0.646698,0.45550537,8.2387085,-0.110099795,0.25183868200000004,0.39520264,51.225281,-51.14975,-263.1752,8.276594782473953,0.5262558215906967,272.94986126182715,44.43493749999986,26.04760394485952
13:03:23:64,0.9986572,0.7906952,9.071884,-0.31356812,0.39031982,0.41810608,51.600647,-51.30005,-263.40027,9.160873015814099,0.6522938156215596,273.2654828859547,44.43493749999986,26.04760401894617
13:03:23:65,1.127945,0.80267334,9.265823,-0.3359375,0.37008667,0.42129517,51.525116,-51.599885,-263.10043499999995,9.368672279522897,0.6536878211220306,273.0189541746082,44.434937499999855,26.047604093032824
13:03:23:66,1.2931366,0.84576416,9.715927,-0.34552002,0.3338623,0.4042511,51.449585,-51.89972,-262.8006,9.83802605962848,0.6279068971060123,272.77242546326164,44.43493749999985,26.047604167119477
13:03:23:67,1.2931366,0.8002777,10.158859,-0.27520752,0.281662,0.35099792,51.499939,-51.69983,-262.50050999999996,10.272052513750982,0.5275151193595088,272.45494562125975,44.43493749999985,26.047604241206127
13:03:23:68,1.16145325,0.8038635199999999,10.16125475,-0.21129608,0.20070649000000002,0.31584167,51.550293,-51.49994,-262.20042,10.25979908482568,0.43320285639780026,272.1374657792578,44.43493749999984,26.04760431529278
13:03:23:69,1.0297699,0.80744934,10.1636505,-0.14738464,0.11975098,0.28068542,51.600647,-51.30005,-261.90033,10.247545655900376,0.33889059343609174,271.8199859372559,44.43493749999984,26.047604389379433
13:03:23:70,0.91485596,0.7978821,10.094208,-0.12394714,0.089920044,0.25831604,50.849915,-49.049377,-262.64954,10.166937219256935,0.30029266449319597,271.98591158699185,44.43493749999983,26.047604463466083
13:03:23:71,0.53178406,0.77394104,9.601013,-0.07814026,0.068618774,0.22636414,51.449585,-49.6498105,-262.124635,9.64682484789868,0.2491087317941109,271.70278475237,44.43493749999983,26.047604537552736
13:03:23:72,0.30194092,0.79548645,9.136536,-0.09944153,0.06008911,0.23806763,52.049255,-50.250244,-261.59973,9.176069806327764,0.26490661653335484,271.4196579177482,44.434937499999826,26.04760461163939
13:03:23:73,0.362991335,0.945121775,9.0503465,-0.180404665,0.069145202,0.263641365,51.449585,-50.775147000000004,-262.5,9.10838929287694,0.3312458781279052,272.2721876284418,44.43493749999982,26.04760468572604
