,ax,ay,az,gx,gy,gz,mx,my,mz,a_total,g_total,m_total,lat,long
19:07:58:50,1.0058289,0.0054016113,9.701569,0.22120667,0.06434631,-0.04208374,53.99933,-48.599243,-264.30054,9.753571756809956,0.23418770171700434,274.10324606781575,44.4349375,26.0476015
19:07:58:51,0.88612366,-0.17176819,9.811691,0.15408325,0.12080383,-0.0463562,53.249359999999996,-48.599243,-264.30054,9.85312131922614,0.2012066364503701,273.9574737259407,44.43493749999999,26.04760161449755
19:07:58:52,0.7735901,-0.21247864,9.993652,0.1146698,0.18260193,-0.03463745,52.49939,-48.599243,-264.30054,10.025800173172128,0.21838585305432995,273.81170138406566,44.43493749999998,26.047601728995105
19:07:58:53,0.6921997,-0.23881531,10.266602,0.12106323,0.2582245,-0.015457153,52.49939,-48.9746095,-264.30054,10.292681370924415,0.28561358797709246,273.878823870927,44.434937499999975,26.047601843492657
19:07:58:54,0.58924866,-0.24598694,10.3815155,0.17433167,0.30403137,0.010101318,52.49939,-49.349976,-264.30054,10.401133959078818,0.3506118106031269,273.9459463577884,44.43493749999997,26.047601957990214
19:07:58:55,0.6275482,-0.15740967,10.134918,0.24996948,0.28805542,0.041000366,52.799988,-49.0501405,-265.12527,10.155548109986816,0.3835905316023595,274.7460356504242,44.43493749999997,26.047602072487766
19:07:58:56,0.725708,-0.035308838,9.584244,0.25741577,0.19325256,0.04206848,53.100586,-48.750305,-265.95,9.611744475735968,0.3246216067989882,275.54612494305997,44.43493749999996,26.04760218698532
19:07:58:57,0.6538849,0.17059326,9.423843,0.20628357,0.089920044,0.03353882,52.799988,-49.2004395,-265.65017,9.448041300261892,0.22751566542086554,275.27957903257993,44.434937499999954,26.047602301482872
19:07:58:58,0.63952637,0.14186096,9.581848,0.15942383,0.031326294,0.03993225,52.49939,-49.650574,-265.35034,9.604214158638984,0.16730773699296106,275.01303312209984,44.43493749999995,26.047602415980425
19:07:58:59,0.725708,0.04849243,9.68959,0.14024353,0.02067566,0.0473938,53.025054999999995,-49.725342,-265.12527,9.716849179910705,0.1494720806764143,274.9108892430815,44.43493749999994,26.047602530477977
19:07:58:60,0.7544403,-0.037704468,9.864365,0.14770508,0.033462524,0.044189453,53.55072,-49.80011,-264.9002,9.893245101906464,0.15776323693020558,274.80874536406316,44.43493749999993,26.04760264497553
19:07:58:61,0.65867615,-0.008972168,9.943375,0.17219543,0.040908813,0.04953003,54.30069,-50.39978,-264.67513499999995,9.965171406503876,0.18378797829497656,274.8501425239432,44.434937499999926,26.047602759473087
19:07:58:62,0.66825867,0.0054016113,9.794937,0.20309448,0.03453064,0.058044434,55.05066,-50.99945,-264.45007,9.81770796374611,0.21403011288989301,274.8915396838233,44.43493749999992,26.04760287397064
19:07:58:63,0.7137451,0.03652954,9.612976,0.21588135,-0.0027618408,0.06762695,54.450226,-50.0244135,-263.92517,9.639505902879183,0.22624276653349504,274.0888667390878,44.43493749999992,26.047602988468192
19:07:58:64,0.720932,0.08680725,9.464539,0.21374512,-0.03152466,0.07295227,53.849792,-49.049377,-263.40027,9.492353603284991,0.2280412555001461,273.2861937943523,44.43493749999991,26.047603102965745
19:07:58:65,0.7400818,0.09397888,9.301727,0.18711853,-0.056030273,0.07827759,54.1496275,-50.099945,-263.475035,9.33159569865231,0.21042841266811743,273.6098958679409,44.434937499999904,26.047603217463298
19:07:58:66,0.7233124,0.11791992,9.258636,0.12852478,-0.06668091,0.08894348,54.449463,-51.150513,-263.5498,9.287595303199991,0.1699291189495988,273.9335979415295,44.4349374999999,26.04760333196085
19:07:58:67,0.83584595,0.1897583,9.325668,0.068862915,-0.03578186,0.097457886,54.2243965,-50.7751465,-264.150235,9.364973588365014,0.12458122696034833,274.3976749866243,44.43493749999989,26.047603446458403
19:07:58:68,0.93640137,0.24960327,9.500458,0.010284424,-0.011276245,0.097457886,53.99933,-50.39978,-264.75067,9.549756621395991,0.0986456416771709,274.86175203171905,44.43493749999988,26.04760356095596
19:07:58:69,0.97232056,0.31903076,9.756638,-0.034454346,-0.020874023,0.08894348,53.924561,-50.849914999999996,-264.225005,9.81015662261663,0.09764102328940764,274.42434040821786,44.434937499999876,26.047603675453512
19:07:58:70,1.0489349,0.2807312,9.940979,-0.046173096,-0.025131226,0.07722473,53.849792,-51.30005,-263.69934,10.000106894905297,0.09341944250562188,273.9869287847166,44.43493749999987,26.047603789951065
19:07:58:71,1.1040039,0.24960327,10.034363,-0.032333374,0.010025024,0.06762695,54.2251585,-50.924683,-263.32473500000003,10.097998178816379,0.07562640112240535,273.6309606601841,44.43493749999986,26.047603904448618
19:07:58:72,1.175827,0.24960327,9.972107,-0.004638672,0.04837036,0.05378723,54.600525,-50.549316,-262.95013,10.044291361055427,0.07248637882751548,273.2749925356515,44.43493749999986,26.04760401894617
19:07:58:73,1.151886,0.29031372,9.88353,0.013473511,0.06329346,0.034606934,55.1254275,-50.099945,-263.249965,9.954661655421356,0.0733841771659196,273.5869721774458,44.434937499999855,26.047604133443723
19:07:58:74,1.1183624,0.3381958,9.821274,0.02519226,0.06222534,0.014373779,55.65033,-49.650574,-263.5498,9.89052748036966,0.06865310207677466,273.89895181924004,44.43493749999985,26.047604247941276
19:07:58:75,1.1135712,0.39326477,9.754242,0.03265381,0.04411316,-0.012268066,54.375457999999995,-50.325012,-263.999935,9.825473779485474,0.056238311106238385,274.2033061447457,44.43493749999984,26.047604362438832
19:07:58:76,1.0776672,0.35494995,9.675232,0.03265381,0.030258179,-0.031433105,53.100586,-50.99945,-264.45007,9.741533263033332,0.05449650258368115,274.5076604702513,44.43493749999983,26.047604476936385
19:07:58:77,1.0465393,0.30706787,9.586639,0.019866943,0.028137207,-0.0463562,53.700256499999995,-51.14975,-263.7001,9.648480838948267,0.05775201399402534,273.9313229590785,44.434937499999826,26.047604591433938
19:07:58:78,0.9747162,0.21609497,9.533966,-0.0025024414,0.037719727,-0.04208374,54.299927,-51.30005,-262.95013,9.586098079811084,0.056569260118040816,273.3549854479057,44.43493749999982,26.04760470593149
19:07:58:79,0.87654114,0.18257141,9.584244,-0.014221191,0.056900024,-0.03036499,54.0748595,-51.30005,-262.650295,9.625974742403903,0.06604458813831121,273.02196372539953,44.43493749999981,26.047604820429044
19:07:58:80,0.80711365,0.12989807,9.639313,-0.012084961,0.066482544,-0.018661499,53.849792,-51.30005,-262.35046,9.67391653181766,0.07010154409148531,272.6889420028934,44.43493749999981,26.047604934926596
19:07:58:81,0.8334503,0.15863037,9.644104,0.022003174,0.045181274,0.018630981,53.700255999999996,-51.30005,-263.24996999999996,9.681350368604187,0.0535966476503868,273.52530286835815,44.434937499999805,26.047605049424153
19:07:58:82,0.8693695,0.21130371,9.591431,0.057144165,0.0057678223,0.02609253,53.55072,-51.30005,-264.14948,9.633068110064986,0.06308362298911264,274.36166373382287,44.4349374999998,26.047605163921705
