,ax,ay,az,gx,gy,gz,mx,my,mz,a_total,g_total,m_total,lat,long
15:14:43:80,0.7352905,-0.32022095,9.94577,-0.04298401,0.04837036,0.019699097,50.475312,-52.349854,-260.47439499999996,9.978052639122984,0.06764149070522552,270.43522168374204,44.4349375,26.0476015
15:14:43:81,0.74487305,-0.35372925,9.806915,-0.008895874,0.007888794,0.031417847,50.70038,-52.349854,-260.69946,9.841521328541988,0.03359242109633839,270.6940047179791,44.43493749999999,26.047601583964873
15:14:43:82,0.8190918,-0.35133362,9.562698,0.0038909912,-0.028320312,0.04206848,51.450348500000004,-51.5998845,-260.09979,9.604141800732304,0.050861939540350024,270.1161561279642,44.43493749999999,26.047601667929744
15:14:43:83,0.8885193,-0.24121094,9.533966,-0.019546509,-0.06454468,0.0473938,52.200317,-50.849915,-259.50012,9.578317020917828,0.08242726496026348,269.53830753794927,44.43493749999998,26.047601751894618
15:14:43:84,1.0561066,-0.23881531,9.766205,-0.062164307,-0.09011841,0.051651,51.1505125,-51.6746525,-259.79996,9.82604467753322,0.121051867753944,269.78597943573493,44.434937499999975,26.04760183585949
15:14:43:85,1.2452545,-0.21487427,10.268997,-0.07493591,-0.13378906,0.038864136,50.100708,-52.49939,-260.0998,10.346454905313573,0.15819394504922807,270.0336513335206,44.434937499999975,26.047601919824363
15:14:43:86,1.42482,-0.29388428,10.522781,-0.04724121,-0.107162476,0.022888184,50.650532999999996,-52.2995,-260.14964333333336,10.622871550404444,0.11932894515385835,270.1466547565389,44.43493749999997,26.047602003789233
15:14:43:87,1.4822845,-0.3776703,10.549118,-0.007827759,-0.034713745,0.0015869141,51.200358,-52.09961,-260.19948666666664,10.659441485010664,0.03562072710161718,270.25965817955716,44.43493749999996,26.047602087754107
15:14:43:88,1.6091766,-0.46147156,10.45813,0.016677856,0.05369568,-0.015457153,51.750183,-51.89972,-260.24933,10.591264722759808,0.05831209574594747,270.3726616025755,44.43493749999996,26.047602171718978
15:14:43:89,1.7911377,-0.43273926,10.3815155,0.011352539,0.089920044,-0.022918701,51.2252815,-51.750183500000006,-260.24933,10.543780233115962,0.09348669055130714,270.24453035652755,44.434937499999954,26.047602255683852
15:14:43:90,2.0520935,-0.36810303,10.364761,-0.00036621094,0.09843445,-0.025039673,50.70038,-51.600647,-260.24933,10.572362941204696,0.10156997726297869,270.1163991104796,44.434937499999954,26.047602339648723
15:14:43:91,2.2651825,-0.30584717,10.355179,-0.03552246,0.105895996,-0.04421997,50.849915,-53.250122,-259.64966,10.604448423739175,0.1201299832684768,269.8874492944007,44.43493749999995,26.047602423613597
15:14:43:92,2.3585663,-0.27711487,10.431793,-0.05256653,0.12080383,-0.07191467,51.049805,-52.20031733333333,-260.19999333333334,10.698688369960115,0.15009505381630234,270.25471745071206,44.43493749999994,26.047602507578468
15:14:43:93,2.408844,-0.3369751,10.47728,-0.053634644,0.13891602,-0.113464355,51.249695,-51.150512666666664,-260.75032666666664,10.755904324265627,0.18721243416294006,270.6219856070235,44.43493749999994,26.047602591543342
15:14:43:94,2.329834,-0.5356903,10.577835,-0.04084778,0.1804657,-0.15394592,51.449585,-50.100708,-261.30066,10.844615431277179,0.2406984758823055,270.98925376333483,44.43493749999993,26.047602675508212
15:14:43:95,2.1215363,-0.7799072,10.585022,-0.018478394,0.23799133,-0.18164062,51.3748175,-50.325012,-260.32563,10.823671385131458,0.2999577287451893,270.07700146915784,44.434937499999926,26.047602759473087
15:14:43:96,1.8940887,-0.933136,10.374329,0.015609741,0.31788635,-0.18910217,51.30005,-50.549316,-259.3506,10.58702115791806,0.37020943562950753,269.16474917498084,44.434937499999926,26.047602843437957
15:14:43:97,1.5636902,-1.0049591,10.144485,0.04862976,0.39457703,-0.1720581,51.824951999999996,-50.174713,-259.8755,10.313372181273875,0.4331972713867072,269.7016982332901,44.43493749999992,26.04760292740283
15:14:43:98,1.3506012,-1.0504456,9.857193,0.06460571,0.47554016,-0.14541626,52.349854,-49.80011,-260.4004,10.004589616733403,0.5014561099536203,270.2386472915993,44.43493749999991,26.047603011367702
15:14:43:99,1.2620087,-1.1462097,9.754242,0.06674194,0.5522461,-0.15074158,52.574921,-50.39978,-260.775,9.902105817946694,0.5763273943350862,270.75476906223815,44.43493749999991,26.047603095332576
15:14:44:00,1.1351166,-1.1150818,9.589035,0.052886963,0.6097717,-0.17843628,52.799988,-50.99945,-261.1496,9.720158915753991,0.6375406363491599,271.270890832877,44.434937499999904,26.047603179297447
15:14:44:01,0.92204285,-0.96424866,9.500458,0.03477478,0.6065674,-0.21253967,52.574921,-50.99945,-260.2501,9.59367712117267,0.6436663789499318,270.36126405793334,44.4349374999999,26.04760326326232
15:14:44:02,0.7041626,-0.8110199,9.507629,0.018798828,0.5863342,-0.24662781,52.349854,-50.99945,-259.3506,9.5681036494739,0.6363697562653412,269.4516372829896,44.4349374999999,26.04760334722719
15:14:44:03,0.4575653,-0.7607422,9.476501,0.016677856,0.55010986,-0.26579285,53.025055,-51.0749815,-260.02503,9.517991694765549,0.6111831542680957,270.24731224944645,44.43493749999989,26.047603431192066
15:14:44:04,0.3139038,-0.69610596,9.464539,0.029449463,0.4638214,-0.2732544,53.700256,-51.150513,-260.69946,9.495293443897506,0.5391340548400818,271.0429872159033,44.43493749999988,26.047603515156936
15:14:44:05,0.09843445,-0.641037,9.471725,0.0635376,0.35943604,-0.27111816,54.1503905,-51.450348,-260.77499,9.493902898805148,0.454682691716352,271.26232438030945,44.43493749999988,26.04760359912181
15:14:44:06,-0.016494751,-0.63864136,9.325668,0.10189819,0.25717163,-0.2775116,54.600525,-51.750183,-260.85052,9.347524726350672,0.39183309780656994,271.4816615447156,44.434937499999876,26.04760368308668
15:14:44:07,-0.20802307,-0.56921387,9.103012,0.12426758,0.15383911,-0.28816223,55.2001955,-51.899719000000005,-260.25009,9.123163130164702,0.3494944548962421,271.05592225312034,44.434937499999876,26.047603767051555
15:14:44:08,-0.3660431,-0.45907593,8.863586,0.11894226,0.049438477,-0.2966919,55.799866,-52.049255,-259.64966,8.883011597423419,0.3234462980891838,270.6301829615251,44.43493749999987,26.047603851016426
15:14:44:09,-0.49772644,-0.344162,8.648117,0.08378601,-0.04750061,-0.29029846,54.750061,-50.6996155,-259.79996,8.669262179505708,0.3058587898041575,270.30886476284184,44.43493749999986,26.0476039349813
15:14:44:10,-0.5456085,-0.26036072,8.478134,0.024124146,-0.13697815,-0.27537537,53.700256,-49.349976,-259.95026,8.499660726272973,0.3085070216385499,269.9875465641586,44.43493749999986,26.04760401894617
15:14:44:11,-0.55996704,-0.19093323,8.387146,-0.04724121,-0.22114563,-0.25621033,54.524993,-49.800110000000004,-260.02503,8.407986477719893,0.3417321389466754,270.30876283716555,44.434937499999855,26.047604102911045
15:14:44:12,-0.5719452,-0.0448761,8.865982,-0.12606812,-0.3127594,-0.24342346,55.34973,-50.250244,-260.0998,8.884524297928294,0.4158925270392172,270.62997911017254,44.43493749999985,26.047604186875915
15:14:44:13,-0.2678833,0.0748291,9.72551,-0.15164185,-0.39797974,-0.24555969,54.8995965,-50.175476,-260.924535,9.729486400459466,0.491612332508844,271.318211307939,44.43493749999985,26.04760427084079
15:14:44:14,-0.21281433,0.10116577,10.211533,-0.102645874,-0.38305664,-0.26686096,54.449463,-50.100708,-261.74927,10.214251351037042,0.4779993063482782,272.0064435057055,44.43493749999984,26.04760435480566
15:14:44:15,-0.27267456,0.08201599,10.26181,-0.014221191,-0.3127594,-0.28816223,55.0498965,-50.250243999999995,-260.84976500000005,10.265759714428684,0.4255092893937703,271.29109512591685,44.43493749999983,26.047604438770534
15:14:44:16,-0.42111206,0.13468933,10.091812,0.0635376,-0.292511,-0.3062744,55.65033,-50.39978,-259.95026,10.101492267285922,0.4282566051214155,270.5757467461282,44.43493749999983,26.047604522735405
15:14:44:17,-0.6365814,0.13708496,9.897888,0.08804321,-0.2935791,-0.31480408,55.1254275,-50.699615,-260.17533000000003,9.919285005766705,0.4393653417926367,270.74130591607695,44.434937499999826,26.04760460670028
15:14:44:18,-0.79460144,0.11552429,9.703964,0.11148071,-0.2701416,-0.3243866,54.600525,-50.99945,-260.4004,9.737127637210373,0.4366132144269389,270.9068650860257,44.43493749999982,26.04760469066515
