,ax,ay,az,gx,gy,gz,mx,my,mz,a_total,g_total,m_total,lat,long
12:15:51:60,0.5581207,0.49621582,9.361588,0.07418823,0.29019165,-0.38723755,52.349854,-50.549316,-260.85052,9.391328912221676,0.4895589926967514,270.8112522517475,44.4349375,26.0476015
12:15:51:61,0.41207886,0.44354248,9.40947,0.03265381,0.32107544,-0.37765503,52.368546,-50.530623999999996,-260.9067875,9.42892701209016,0.49676858914690913,270.8655879263513,44.43493749999999,26.047601578717067
12:15:51:62,0.3785553,0.4650879,9.435806,0.018798828,0.3242798,-0.36698914,52.387237999999996,-50.511932,-260.963055,9.454842449217253,0.49009367829033784,270.91992360095503,44.43493749999999,26.047601657434136
12:15:51:63,0.46809691999999997,0.52494202,9.4678892,0.0343536376,0.316397106,-0.364859012,52.40593,-50.49324,-261.0193225,9.496275903028236,0.48533849884343566,270.9742592755588,44.43493749999998,26.047601736151204
12:15:51:64,0.55763854,0.58479614,9.499972399999999,0.0499084472,0.308514412,-0.362728884,52.424622,-50.474548,-261.07559000000003,9.537709356839219,0.48058331939653354,271.0285949501626,44.43493749999998,26.04760181486827
12:15:51:65,0.64718016,0.64465026,9.5320556,0.06546325680000001,0.300631718,-0.360598756,52.443314,-50.455856,-261.1318575,9.5791428106502,0.47582813994963136,271.0829306247664,44.434937499999975,26.047601893585338
12:15:51:66,0.73672178,0.70450438,9.564138799999998,0.0810180664,0.292749024,-0.358468628,52.462006,-50.437163999999996,-261.188125,9.620576264461183,0.47107296050272923,271.13726629937014,44.43493749999997,26.047601972302406
12:15:51:67,0.8262634,0.7643585,9.596222,0.096572876,0.28486633,-0.3563385,52.480698,-50.418472,-261.2443925,9.662009718272166,0.46631778105582705,271.1916019739739,44.43493749999997,26.047602051019474
12:15:51:68,0.7520447,0.65901184,9.081467,0.06460571,0.36369324,-0.36273193,52.49939,-50.39978,-261.30066,9.136351060907591,0.5177075657432743,271.2459376485777,44.43493749999996,26.047602129736543
12:15:51:69,0.65148926,0.6231079,8.861206,-0.02168274,0.49684143,-0.36380005,52.874756,-50.025177,-261.00005999999996,8.90694523870972,0.6161753193356214,270.96047603850866,44.434937499999954,26.04760220845361
12:15:51:70,0.7640228,0.63986206,8.6936035,-0.093048096,0.537323,-0.36698914,53.250122,-49.650574,-260.69946,8.750536904096773,0.6573088949467859,270.67501442843957,44.434937499999954,26.047602287170676
12:15:51:71,0.7831726,0.6278839,8.645721,-0.17933655,0.52241516,-0.3765869,53.475189,-50.6256105,-260.84976,8.703797396717766,0.6685034710570605,271.04618009963986,44.43493749999995,26.047602365887744
12:15:51:72,0.7616272,0.60154724,8.547562,-0.23153687,0.49684143,-0.38298035,53.700256,-51.600647,-261.00006,8.602485176829743,0.6686812971961787,271.4173457708401,44.43493749999995,26.047602444604813
12:15:51:73,0.7903595,0.56803894,8.73909,-0.4147644,0.3839264,-0.38723755,54.00034566666667,-50.500488000000004,-260.95021333333335,8.79312404124362,0.685114521999295,271.22662754389114,44.43493749999994,26.04760252332188
12:15:51:74,0.79515076,0.5297241,8.885147,-0.47229004,0.34664917,-0.38298035,54.30043533333333,-49.400329,-260.9003666666667,8.936370044087163,0.6999267657626854,271.03590931694214,44.43493749999993,26.04760260203895
12:15:51:75,1.0249939,0.42437744,9.782974,-0.5809479,0.26675415,-0.3712616,54.600525,-48.30017,-260.85052,9.845673617954953,0.7392519291088746,270.8451910899932,44.43493749999993,26.047602680756018
12:15:51:76,0.9866791,0.4076233,10.6736145,-0.5734863,0.26568604,-0.36698914,55.05066,-50.250244,-259.64966,10.726869948670485,0.7308602034702062,270.1362769540787,44.434937499999926,26.047602759473087
12:15:51:77,0.78556824,0.35734558,10.807678,-0.5447235,0.27954102,-0.36166382,55.425263,-49.6498105,-260.624695,10.842080846171838,0.7111030811435729,271.04045658423627,44.434937499999926,26.04760283819015
12:15:51:78,0.43122864,0.28312683,11.054291,-0.39665222,0.28059387,-0.2828369,55.799866,-49.049377,-261.59973,11.06632136052912,0.5621944641439609,271.9446362143938,44.43493749999992,26.04760291690722
12:15:51:79,0.44319153,0.3214264,10.929794,-0.25390625,0.2869873,-0.19761658,55.5000305,-48.82431,-260.92453,10.943497180760668,0.4311408201982838,271.1931206059803,44.43493749999991,26.04760299562429
12:15:51:80,0.5581207,0.36453247,10.486862,-0.09837341,0.3093567,-0.10920715,55.200195,-48.599243,-260.24933,10.508028228192805,0.3424983171360709,270.44160499756686,44.43493749999991,26.047603074341357
12:15:51:81,0.7759857,0.5417023,9.830856,0.014541626,0.29977417,-0.041030884,55.200195,-48.599243,-260.24933,9.87630117408161,0.3029183806369865,270.44160499756686,44.434937499999904,26.047603153058425
12:15:51:82,0.9866791,0.754776,9.15329,0.06993103,0.26461792,0.0069122314,55.200195,-48.599243,-260.24933,9.237204137651869,0.2737896482427969,270.44160499756686,44.434937499999904,26.047603231775494
12:15:51:83,1.230896,0.99420166,8.537979,0.07206726,0.19325256,0.019699097,55.200195,-48.599243,-260.24933,8.683353459810544,0.20719144850373677,270.44160499756686,44.4349374999999,26.047603310492562
12:15:51:84,1.3745422,1.1402435,8.138153,0.02305603,0.101638794,0.012237549,55.875397500000005,-48.299408,-261.299895,8.331809872427606,0.10493704098488169,271.53816495745366,44.43493749999989,26.047603389209627
12:15:51:85,1.4679108,1.3317871,8.00647,-0.067489624,-0.018737793,-0.014389038,56.5506,-47.999573,-262.35046,8.248150147601766,0.07150523511420454,272.6347249173405,44.43493749999989,26.047603467926695
12:15:51:86,1.472702,1.4084015,8.00647,-0.1633606,-0.15509033,-0.054870605,56.100465,-48.6747745,-261.52495999999996,8.261719423153165,0.2318414962532267,271.8686330213259,44.43493749999988,26.047603546643764
12:15:51:87,1.3434143,1.4562836,8.241104,-0.24537659,-0.2935791,-0.0974884,55.65033,-49.349976,-260.69946,8.475925851722007,0.3948447125281002,271.10254112531123,44.434937499999876,26.047603625360832
12:15:51:88,1.0752716,1.2982635,9.043152,-0.29545593,-0.39370728,-0.11878967,56.5506,-48.750305,-259.3506,9.19892902594116,0.5063700372216667,269.8838570909958,44.434937499999876,26.0476037040779
12:15:51:89,1.0273895,1.2240448,9.29216,-0.29545593,-0.4459076,-0.11453247,56.475068,-49.4255065,-260.17533000000003,9.428576367761853,0.5470333454134454,270.7837666543075,44.43493749999987,26.04760378279497
12:15:51:90,0.780777,1.101944,9.859589,-0.25497437,-0.46401978,-0.092163086,56.399536,-50.100708,-261.00006,9.951652553811654,0.5374200591801434,271.6836762176192,44.43493749999987,26.047603861512037
12:15:51:91,0.7137451,1.0899658,10.010422,-0.17826843,-0.4693451,-0.054870605,56.24949066666667,-49.850463999999995,-260.7498166666667,10.094850475912343,0.5050497394531959,271.36623745967336,44.43493749999986,26.047603940229102
12:15:51:92,0.720932,1.2024994,9.921829,-0.09625244,-0.4736023,-0.02078247,56.09944533333333,-49.60022,-260.49957333333333,10.02040111277315,0.4837308981557251,271.04879870172755,44.434937499999855,26.04760401894617
