,lat,long
11:05:09:00,44.434918,26.047606
11:05:10:60,44.43491799999931,26.047618594726657
11:05:11:60,44.43491799999862,26.047631189453316
11:05:12:40,44.43491799999792,26.047643784179975
11:05:13:20,44.434917999997225,26.047656378906634
11:05:14:10,44.43491799999653,26.047668973633293
11:05:17:50,44.43491799999584,26.047681568359952
11:05:20:00,44.43491799999566,26.04768786572328
11:05:21:10,44.434909006779606,26.04768786572328
11:05:21:95,44.43490001356355,26.04768786572328
11:05:22:70,44.434891020347486,26.04768786572328
11:05:23:45,44.43488202713143,26.04768786572328
11:05:24:25,44.43487303391537,26.04768786572328
11:05:25:10,44.43486404069931,26.04768786572328
11:05:25:90,44.434855047483246,26.04768786572328
11:05:26:95,44.43485504748256,26.04770046043637
11:05:27:90,44.43486404069863,26.04770046043637
11:05:28:75,44.43487303391468,26.04770046043637
11:05:29:60,44.43488202713073,26.04770046043637
11:05:30:40,44.43489102034679,26.04770046043637
11:05:31:25,44.43490001356284,26.04770046043637
11:05:32:12,44.4349090067789,26.04770046043637
11:05:32:52,44.43491350338692,26.04770046043637
11:05:33:32,44.434913503386234,26.04771305516206
11:05:34:22,44.43491350338554,26.04772564988775
11:05:35:00,44.43491350338485,26.047738244613438
11:05:35:80,44.434913503384145,26.047750839339127
11:05:36:70,44.434913503383456,26.047763434064816
11:05:37:50,44.43491350338276,26.047776028790505
11:05:38:30,44.43491350338206,26.047788623516194
11:05:39:10,44.43491350338137,26.047801218241883
11:05:39:90,44.43491350338067,26.047813812967572
11:05:40:70,44.43491350337998,26.047826407693265
11:05:41:40,44.434913503379285,26.047839002418954
11:05:42:10,44.434913503378596,26.047851597144643
11:05:42:90,44.43491350337789,26.04786419187033
11:05:43:50,44.4349135033772,26.04787678659602
11:05:44:30,44.434913503376514,26.04788938132171
11:05:44:90,44.43491799998454,26.04788938132171
11:05:48:00,44.434917999983846,26.04790197604837
11:05:49:00,44.4349374999837,26.047903773512555
11:05:51:70,44.43492850676764,26.047903773512555
11:05:52:50,44.43491951355158,26.047903773512555
11:05:53:40,44.434910520335514,26.047903773512555
11:05:54:10,44.43490152711945,26.047903773512555
11:05:54:90,44.43489253390339,26.047903773512555
11:05:55:60,44.43488354068732,26.047903773512555
11:05:56:40,44.43487454747127,26.047903773512555
11:05:57:10,44.43487454747057,26.047916368229846
11:05:57:90,44.434874547469875,26.04792896294714
11:05:58:60,44.434874547469185,26.04794155766443
11:05:59:50,44.43488354068524,26.04794155766443
11:06:00:40,44.4348925339013,26.04794155766443
11:06:01:10,44.43490152711736,26.04794155766443
11:06:01:90,44.43491052033342,26.04794155766443
11:06:02:60,44.434919513549474,26.04794155766443
11:06:03:40,44.43492850676553,26.04794155766443
11:06:04:20,44.43493749998159,26.04794155766443
11:06:04:50,44.43493749998141,26.047935260299
11:06:05:40,44.43493749998072,26.04792266556814
11:06:06:20,44.43493749998002,26.04791007083728
11:06:07:00,44.434937499979846,26.047903773471848
11:06:08:00,44.43493749997967,26.04789747610642
11:06:11:40,44.43493749997897,26.047884881375563
11:06:12:30,44.434941996587,26.047884881375563
11:06:13:00,44.43494199658631,26.04787228664373
11:06:13:90,44.43494199658562,26.0478596919119
11:06:14:60,44.434941996584925,26.04784709718007
11:06:15:50,44.43494199658423,26.04783450244824
11:06:16:10,44.43494199658353,26.047821907716408
11:06:16:90,44.43494199658284,26.04780931298458
11:06:17:50,44.434941996582154,26.047796718252748
11:06:18:30,44.43494199658146,26.047784123520916
11:06:18:70,44.43494199658128,26.047777826155002
11:06:19:00,44.4349419965811,26.04777152878909
11:06:19:70,44.43494199658041,26.047758934057264
11:06:20:00,44.434941996580235,26.04775263669135
11:06:20:40,44.43494199658006,26.047746339325435
11:06:20:70,44.43494199657988,26.04774004195952
11:06:21:10,44.4349419965797,26.047733744593607
11:06:21:80,44.43494199657901,26.047721149861776
11:06:22:50,44.434941996578324,26.047708555129947
11:06:23:10,44.43494199657763,26.047695960398116
11:06:23:60,44.43493749996959,26.047695960398116
11:06:24:50,44.434937499968896,26.047683365667254
11:06:25:90,44.43493749996872,26.047677068301827
11:06:30:00,44.43493749996802,26.04766447357097
11:06:30:90,44.434937499967326,26.047651878840107
11:06:31:70,44.43493749996664,26.04763928410925
11:06:32:70,44.43493749996595,26.04762668937839
11:06:33:50,44.43493749996525,26.04761409464753
11:06:35:10,44.43493749996456,26.04760149991667
