,32:cd:a7:a0:6d:d8,84:b2:61:56:8a:01,84:b2:61:56:8a:02,84:b2:61:56:8a:00,84:b2:61:6d:3d:22,84:b2:61:6d:3d:21,84:b2:61:6d:3d:20,84:b2:61:5e:44:22,84:b2:61:5e:44:21,84:b2:61:5e:44:20,84:b2:61:47:dd:42,84:b2:61:47:dd:41,84:b2:61:47:dd:40,84:b2:61:47:e2:c0,84:b2:61:56:8a:0f,84:b2:61:56:8a:0e,84:b2:61:56:8a:0d,84:b2:61:5e:44:2f,84:b2:61:5e:44:2d,84:b2:61:6d:3d:2e,84:b2:61:5e:44:2e,84:b2:61:6d:3d:2d,84:b2:61:6d:3d:2f,84:b2:61:47:dd:4e,84:b2:61:47:dd:4f,84:b2:61:47:dd:4d,84:b2:61:47:e2:c2,84:b2:61:47:e2:c1,84:b2:61:6d:5d:70,84:b2:61:6d:5d:72,84:b2:61:6d:5d:71,84:b2:61:47:e2:ce,84:b2:61:47:e2:cd,84:b2:61:6d:52:a1,84:b2:61:6d:52:a0,84:b2:61:6d:52:a2,84:b2:61:6d:52:af,84:b2:61:40:75:f1,84:b2:61:40:75:f2,84:b2:61:40:75:f0,c4:71:54:39:70:e4,lat,long
15:15:28:00,-70.0,-70.0,-72.0,-72.0,-87.0,-87.0,-82.0,-50.0,-50.0,-50.0,-73.0,-72.0,-72.0,,-64.0,-64.0,-64.0,-43.0,-45.0,-82.0,-44.0,-82.0,-82.0,-70.0,-69.0,-69.0,,,,,,,,-84.0,-81.0,-82.0,,,,,,44.43493749998372,26.047902986341875
15:15:30:00,-75.0,-69.0,-66.0,-70.0,,,,-57.0,-56.0,-56.0,-77.0,-77.0,-77.0,,-59.0,-56.0,-57.0,-47.0,-48.0,-85.0,-50.0,-84.0,-83.0,-76.0,-76.0,-77.0,,,,,,,,,,,,,,,,44.43493046181461,26.047903773512555
15:15:31:00,-73.0,-67.0,-69.0,-69.0,-88.0,-88.0,-88.0,-60.0,-60.0,-60.0,-78.0,-79.0,-80.0,,-70.0,-70.0,-71.0,-48.0,-49.0,,-49.0,,-86.0,-75.0,-75.0,-74.0,,,,,,,,-88.0,-86.0,-87.0,,,,,,44.434924010159605,26.047903773512555
15:15:32:00,-78.0,-79.0,-79.0,-77.0,-87.0,-88.0,-88.0,-59.0,-58.0,-61.0,-73.0,-72.0,-72.0,,-72.0,-72.0,-72.0,-62.0,-62.0,,-58.0,,-88.0,-79.0,-82.0,-83.0,,,,,,,,-92.0,-90.0,-92.0,,,,,,44.434913892791535,26.047903773512555
15:15:33:00,-75.0,-75.0,-75.0,-75.0,-87.0,-86.0,-86.0,-58.0,-58.0,-58.0,-69.0,-70.0,-70.0,,-74.0,-74.0,-74.0,-55.0,-54.0,-84.0,-55.0,-85.0,-84.0,-73.0,-72.0,-72.0,,,,,,,,-90.0,-87.0,-89.0,,,,,,44.43490265127146,26.047903773512555
15:15:34:00,-84.0,-77.0,-77.0,-77.0,-89.0,-91.0,-91.0,-66.0,-66.0,-66.0,-71.0,-71.0,-71.0,,-74.0,-73.0,-72.0,-61.0,-62.0,-84.0,-62.0,-83.0,-83.0,-75.0,-75.0,-75.0,,,,,,,,-90.0,-91.0,-91.0,,,,,,44.43489253390339,26.047903773512555
15:15:36:00,-85.0,-72.0,-72.0,-70.0,-91.0,-87.0,-90.0,-63.0,-64.0,-64.0,-75.0,-76.0,-76.0,,-78.0,-77.0,-79.0,-57.0,-56.0,,-57.0,,-87.0,-77.0,-77.0,-77.0,,,,,,,,-92.0,-91.0,-89.0,,,,,,44.43487454747127,26.047903773512555
15:15:37:00,-73.0,-72.0,-72.0,-72.0,-88.0,-88.0,-86.0,-64.0,-65.0,-65.0,-82.0,-81.0,-82.0,,-75.0,-74.0,-74.0,-60.0,-61.0,,-61.0,-87.0,-86.0,-77.0,,-77.0,,,,,,,,-90.0,-89.0,-89.0,,,,,,44.43487454747049,26.04791776764288
15:15:38:00,-78.0,-75.0,-75.0,-75.0,-87.0,-86.0,-86.0,-59.0,-59.0,-59.0,-84.0,-85.0,-85.0,,-74.0,-74.0,-74.0,-58.0,-58.0,,-59.0,,,,,,,,,,,,,,,,,,,,,44.43487454746972,26.047931761773203
15:15:39:00,-80.0,-76.0,-75.0,-77.0,-89.0,-89.0,-89.0,-64.0,-64.0,-65.0,-80.0,-80.0,-78.0,,-70.0,-71.0,-70.0,-60.0,-60.0,,-60.0,,,-77.0,-76.0,-77.0,,,,,,,,,,,,,,,,44.43487700016448,26.04794155766443
