,lat,long
17:31:15:30,44.4349375,26.0476015
17:31:17:20,44.43493749999931,26.04761409473086
17:31:18:00,44.43493749999862,26.04762668946172
17:31:18:80,44.434937499997915,26.04763928419258
17:31:19:60,44.434937499997226,26.047651878923443
17:31:20:20,44.43493749999653,26.047664473654304
17:31:23:00,44.43493749999584,26.047677068385166
17:31:24:00,44.43493749999566,26.047683365750597
17:31:26:10,44.434928506779606,26.0476833657506
17:31:27:00,44.43491951356354,26.0476833657506
17:31:27:80,44.43491052034748,26.0476833657506
17:31:28:60,44.43490152713142,26.0476833657506
17:31:29:40,44.43489253391536,26.0476833657506
17:31:30:10,44.4348835406993,26.0476833657506
17:31:30:90,44.43487454748325,26.0476833657506
17:31:32:20,44.43487454748256,26.047695960467895
17:31:33:20,44.43488354069862,26.047695960467895
17:31:33:90,44.43489253391467,26.047695960467895
17:31:34:90,44.434901527130734,26.047695960467895
17:31:35:80,44.434910520346804,26.047695960467895
17:31:36:50,44.43491951356285,26.047695960467895
17:31:37:50,44.43492850677892,26.047695960467895
17:31:38:00,44.43493300338694,26.047695960467895
17:31:38:80,44.43493300338625,26.047708555197786
17:31:39:60,44.43493300338555,26.04772114992768
17:31:40:40,44.43493300338486,26.04773374465757
17:31:41:20,44.434933003384174,26.047746339387462
17:31:42:00,44.43493300338348,26.047758934117354
17:31:42:70,44.43493300338278,26.047771528847246
17:31:43:50,44.434933003382085,26.047784123577138
17:31:44:20,44.434933003381396,26.047796718307026
17:31:45:00,44.434933003380706,26.047809313036918
17:31:45:80,44.43493300338001,26.047821907766807
17:31:46:60,44.43493300337932,26.0478345024967
17:31:47:30,44.43493300337862,26.04784709722659
17:31:48:20,44.43493300337793,26.047859691956482
17:31:48:90,44.43493300337723,26.047872286686374
17:31:49:60,44.43493300337654,26.047884881416262
17:31:50:10,44.434937499984564,26.047884881416262
17:31:54:20,44.434937499983874,26.047897476147124
17:31:55:70,44.4349374999837,26.047903773512555
17:31:58:60,44.43492850676764,26.047903773512555
17:31:59:40,44.43491951355158,26.047903773512555
17:32:00:20,44.434910520335514,26.047903773512555
17:32:01:00,44.43490152711945,26.047903773512555
17:32:01:80,44.43489253390339,26.047903773512555
17:32:02:60,44.43488354068732,26.047903773512555
17:32:03:50,44.43487454747127,26.047903773512555
17:32:04:10,44.43487454747057,26.047916368229846
17:32:05:10,44.434874547469875,26.04792896294714
17:32:06:00,44.434874547469185,26.04794155766443
17:32:06:80,44.43488354068524,26.04794155766443
17:32:07:60,44.4348925339013,26.04794155766443
17:32:08:30,44.43490152711736,26.04794155766443
17:32:09:00,44.43491052033342,26.04794155766443
17:32:09:80,44.434919513549474,26.04794155766443
17:32:10:60,44.43492850676553,26.04794155766443
17:32:11:40,44.43493749998159,26.04794155766443
17:32:11:90,44.43493749998141,26.047935260299
17:32:12:70,44.43493749998072,26.04792266556814
17:32:13:70,44.43493749998003,26.04791007083728
17:32:14:60,44.43493749997985,26.047903773471848
17:32:15:40,44.434937499979675,26.04789747610642
17:32:18:70,44.43493749997898,26.047884881375563
17:32:19:30,44.43494199658701,26.047884881375563
17:32:20:30,44.43494199658631,26.04787228664373
17:32:21:00,44.43494199658562,26.0478596919119
17:32:21:80,44.434941996584925,26.04784709718007
17:32:22:70,44.43494199658423,26.04783450244824
17:32:23:40,44.43494199658353,26.047821907716408
17:32:24:10,44.43494199658284,26.04780931298458
17:32:25:00,44.434941996582154,26.047796718252748
17:32:25:60,44.43494199658146,26.047784123520916
17:32:26:10,44.43494199658128,26.047777826155002
17:32:26:60,44.4349419965811,26.04777152878909
17:32:27:30,44.43494199658041,26.047758934057264
17:32:27:80,44.434941996580235,26.04775263669135
17:32:28:20,44.43494199658006,26.047746339325435
17:32:28:60,44.43494199657988,26.04774004195952
17:32:28:90,44.4349419965797,26.047733744593607
17:32:29:70,44.43494199657901,26.047721149861776
17:32:30:60,44.434941996578324,26.047708555129947
17:32:31:50,44.43494199657763,26.047695960398116
17:32:32:20,44.43493749996959,26.047695960398116
17:32:33:40,44.434937499968896,26.047683365667254
17:32:34:80,44.43493749996872,26.047677068301827
17:32:38:80,44.43493749996802,26.04766447357097
17:32:39:70,44.434937499967326,26.047651878840107
17:32:40:60,44.43493749996664,26.04763928410925
17:32:41:30,44.43493749996595,26.04762668937839
17:32:42:30,44.43493749996525,26.04761409464753
17:32:43:40,44.43493749996456,26.04760149991667
