,lat,long
18:26:12:20,44.4349375,26.0476015
18:26:13:30,44.43493749999931,26.04761409473086
18:26:14:50,44.43493749999862,26.04762668946172
18:26:15:40,44.434937499997915,26.04763928419258
18:26:16:30,44.434937499997226,26.047651878923443
18:26:17:00,44.43493749999653,26.047664473654304
18:26:21:20,44.43493749999584,26.047677068385166
18:26:22:20,44.43493749999566,26.047683365750597
18:26:25:70,44.434928506779606,26.0476833657506
18:26:26:60,44.43491951356354,26.0476833657506
18:26:27:50,44.43491052034748,26.0476833657506
18:26:28:40,44.43490152713142,26.0476833657506
18:26:29:40,44.43489253391536,26.0476833657506
18:26:30:20,44.4348835406993,26.0476833657506
18:26:31:10,44.43487454748325,26.0476833657506
18:26:32:40,44.43487454748256,26.047695960467895
18:26:33:30,44.43488354069862,26.047695960467895
18:26:34:10,44.43489253391467,26.047695960467895
18:26:35:00,44.434901527130734,26.047695960467895
18:26:35:70,44.434910520346804,26.047695960467895
18:26:36:60,44.43491951356285,26.047695960467895
18:26:37:40,44.43492850677892,26.047695960467895
18:26:38:00,44.43493300338694,26.047695960467895
18:26:38:80,44.43493300338625,26.047708555197786
18:26:39:50,44.43493300338555,26.04772114992768
18:26:40:30,44.43493300338486,26.04773374465757
18:26:41:10,44.434933003384174,26.047746339387462
18:26:42:00,44.43493300338348,26.047758934117354
18:26:42:90,44.43493300338278,26.047771528847246
18:26:43:90,44.434933003382085,26.047784123577138
18:26:44:70,44.434933003381396,26.047796718307026
18:26:45:50,44.434933003380706,26.047809313036918
18:26:46:30,44.43493300338001,26.047821907766807
18:26:47:30,44.43493300337932,26.0478345024967
18:26:48:10,44.43493300337862,26.04784709722659
18:26:49:00,44.43493300337793,26.047859691956482
18:26:49:80,44.43493300337723,26.047872286686374
18:26:50:90,44.43493300337654,26.047884881416262
18:26:51:70,44.434937499984564,26.047884881416262
18:26:55:20,44.434937499983874,26.047897476147124
18:26:56:30,44.4349374999837,26.047903773512555
18:26:58:60,44.43492850676764,26.047903773512555
18:26:59:40,44.43491951355158,26.047903773512555
18:27:00:50,44.434910520335514,26.047903773512555
18:27:01:30,44.43490152711945,26.047903773512555
18:27:02:20,44.43489253390339,26.047903773512555
18:27:02:90,44.43488354068732,26.047903773512555
18:27:03:90,44.43487454747127,26.047903773512555
18:27:04:70,44.43487454747057,26.047916368229846
18:27:05:50,44.434874547469875,26.04792896294714
18:27:06:40,44.43488354068524,26.04794155766443
18:27:07:30,44.4348925339013,26.04794155766443
18:27:08:20,44.43490152711736,26.04794155766443
18:27:09:00,44.43491052033342,26.04794155766443
18:27:09:90,44.434919513549474,26.04794155766443
18:27:10:80,44.43492850676553,26.04794155766443
18:27:11:80,44.43493749998159,26.04794155766443
18:27:12:40,44.43493749998141,26.047935260299
18:27:13:40,44.43493749998072,26.04792266556814
18:27:14:20,44.43493749998003,26.04791007083728
18:27:14:80,44.43493749997985,26.047903773471848
18:27:16:00,44.434937499979675,26.04789747610642
18:27:19:90,44.43493749997898,26.047884881375563
18:27:20:70,44.43494199658701,26.047884881375563
18:27:21:60,44.43494199658631,26.04787228664373
18:27:22:50,44.43494199658562,26.0478596919119
18:27:23:40,44.434941996584925,26.04784709718007
18:27:24:30,44.43494199658423,26.04783450244824
18:27:25:10,44.43494199658353,26.047821907716408
18:27:25:90,44.43494199658284,26.04780931298458
18:27:26:70,44.434941996582154,26.047796718252748
18:27:27:60,44.43494199658146,26.047784123520916
18:27:28:10,44.43494199658128,26.047777826155002
18:27:28:60,44.4349419965811,26.04777152878909
18:27:29:30,44.43494199658041,26.047758934057264
18:27:29:80,44.434941996580235,26.04775263669135
18:27:30:20,44.43494199658006,26.047746339325435
18:27:30:60,44.43494199657988,26.04774004195952
18:27:31:00,44.4349419965797,26.047733744593607
18:27:31:80,44.43494199657901,26.047721149861776
18:27:32:70,44.434941996578324,26.047708555129947
18:27:33:50,44.43494199657763,26.047695960398116
18:27:34:30,44.43493749996959,26.047695960398116
18:27:35:60,44.434937499968896,26.047683365667254
18:27:37:10,44.43493749996872,26.047677068301827
18:27:41:00,44.43493749996802,26.04766447357097
18:27:41:80,44.434937499967326,26.047651878840107
18:27:42:70,44.43493749996664,26.04763928410925
18:27:43:70,44.43493749996595,26.04762668937839
18:27:44:60,44.43493749996525,26.04761409464753
18:27:45:70,44.43493749996456,26.04760149991667
