,32:cd:a7:a0:6d:d8,84:b2:61:56:8a:01,84:b2:61:56:8a:02,84:b2:61:56:8a:00,84:b2:61:6d:3d:22,84:b2:61:6d:3d:21,84:b2:61:6d:3d:20,84:b2:61:5e:44:22,84:b2:61:5e:44:21,84:b2:61:5e:44:20,84:b2:61:47:dd:42,84:b2:61:47:dd:41,84:b2:61:47:dd:40,84:b2:61:47:e2:c0,84:b2:61:56:8a:0f,84:b2:61:56:8a:0e,84:b2:61:56:8a:0d,84:b2:61:5e:44:2f,84:b2:61:5e:44:2d,84:b2:61:6d:3d:2e,84:b2:61:5e:44:2e,84:b2:61:6d:3d:2d,84:b2:61:6d:3d:2f,84:b2:61:47:dd:4e,84:b2:61:47:dd:4f,84:b2:61:47:dd:4d,84:b2:61:47:e2:c2,84:b2:61:47:e2:c1,84:b2:61:6d:5d:70,84:b2:61:6d:5d:72,84:b2:61:6d:5d:71,84:b2:61:47:e2:ce,84:b2:61:47:e2:cd,84:b2:61:6d:52:a1,84:b2:61:6d:52:a0,84:b2:61:6d:52:a2,84:b2:61:6d:52:af,84:b2:61:40:75:f1,84:b2:61:40:75:f2,84:b2:61:40:75:f0,c4:71:54:39:70:e4,lat,long
19:07:59:00,-40.0,-58.0,-58.0,-58.0,-71.0,-71.0,-71.0,-74.0,-74.0,-73.0,-90.0,-89.0,-89.0,-89.0,-52.0,-52.0,-52.0,-64.0,-64.0,-65.0,-65.0,-66.0,-66.0,-84.0,-84.0,-85.0,-89.0,-91.0,,,,,,,,,,,,,,44.434937499999684,26.047607224877662
19:08:00:00,-49.0,-51.0,-52.0,-52.0,-70.0,-72.0,-72.0,-75.0,-75.0,-75.0,-87.0,-89.0,-88.0,-92.0,-50.0,-50.0,-50.0,-58.0,-58.0,-70.0,-58.0,-70.0,-70.0,,-85.0,-86.0,-92.0,-91.0,,,,,,,,,,,,,,44.434937499999,26.04761969238902
19:08:01:00,-46.0,-52.0,-52.0,-52.0,-73.0,-72.0,-72.0,-74.0,-74.0,-74.0,-90.0,-89.0,-90.0,-92.0,-52.0,-52.0,-52.0,-57.0,-58.0,-65.0,-58.0,-66.0,-65.0,-85.0,-85.0,-86.0,-91.0,-92.0,,,,,,,,,,,,,,44.43493749999818,26.047634561168508
19:08:02:00,-51.0,-43.0,-43.0,-43.0,-76.0,-73.0,-76.0,-80.0,-78.0,-80.0,-88.0,-89.0,-87.0,-80.0,-48.0,-48.0,-48.0,-67.0,-66.0,-72.0,-66.0,-73.0,-72.0,-84.0,-84.0,-83.0,-80.0,-79.0,,,,,,,,,,,,,,44.43493749999738,26.047649080094363
19:08:05:00,-50.0,-39.0,-38.0,-39.0,,,,-61.0,-61.0,-62.0,-86.0,-86.0,-87.0,-83.0,-50.0,-49.0,-49.0,-58.0,-59.0,-55.0,-58.0,-56.0,-56.0,-83.0,-82.0,-83.0,-82.0,,-91.0,-92.0,-94.0,,,,,,,,,,,44.43493749999603,26.047673593976654
19:08:06:00,-49.0,-36.0,-36.0,-36.0,-71.0,-77.0,-71.0,-67.0,-67.0,-69.0,-87.0,-86.0,-86.0,-81.0,-46.0,-46.0,-46.0,-57.0,-58.0,-65.0,-57.0,-64.0,-63.0,-83.0,-82.0,-82.0,-83.0,-83.0,,,,-87.0,-89.0,,,,,,,,,44.434937499995804,26.047678213360697
19:08:08:00,-53.0,-39.0,-39.0,-39.0,-63.0,-63.0,-64.0,-64.0,-64.0,-66.0,-84.0,-84.0,-84.0,-76.0,-45.0,-45.0,-45.0,-57.0,-58.0,-63.0,-58.0,-63.0,-62.0,-83.0,-83.0,-83.0,-76.0,-76.0,,,,,,,,,,,,,,44.43493255372683,26.0476833657506
19:08:09:00,-49.0,-41.0,-41.0,-41.0,-63.0,-62.0,-62.0,-74.0,-72.0,-74.0,-85.0,-86.0,-85.0,-73.0,-50.0,-51.0,-50.0,-71.0,-72.0,-73.0,-72.0,-73.0,-73.0,-85.0,-85.0,-85.0,-76.0,-77.0,,,,,,,,,,,,,,44.434927507533374,26.0476833657506
19:08:10:00,-58.0,-45.0,-45.0,-45.0,-65.0,-66.0,-66.0,-75.0,-75.0,-75.0,-86.0,-86.0,-85.0,-84.0,-53.0,-52.0,-52.0,-72.0,-72.0,-65.0,-73.0,-65.0,-65.0,-87.0,-85.0,-85.0,-84.0,-84.0,-94.0,-93.0,-94.0,,,,,,,,,,,44.43491726525953,26.0476833657506
19:08:11:00,-51.0,-58.0,-58.0,-58.0,-71.0,-71.0,-71.0,-77.0,-77.0,-76.0,-88.0,-89.0,-92.0,-88.0,-56.0,-56.0,-57.0,-73.0,-72.0,-66.0,-72.0,-67.0,-66.0,-89.0,,,-88.0,-87.0,,,,,,,,,,,,,,44.43490602373945,26.0476833657506
19:08:12:00,-50.0,-60.0,-60.0,-60.0,-73.0,-73.0,-73.0,-79.0,-80.0,-80.0,-92.0,-92.0,-93.0,-91.0,-56.0,-57.0,-57.0,-71.0,-71.0,-65.0,-71.0,-65.0,-64.0,-86.0,-85.0,-86.0,-92.0,-92.0,,,,,,,,,,,,,,44.434894782219374,26.0476833657506
19:08:13:00,-54.0,-54.0,-54.0,-54.0,-67.0,-67.0,-67.0,-72.0,-72.0,-72.0,-92.0,-91.0,-90.0,-87.0,-56.0,-57.0,-56.0,-70.0,-70.0,-66.0,-72.0,-65.0,-65.0,-86.0,-88.0,-87.0,-88.0,-91.0,,,,,,,,,,,,,,44.43488453994553,26.0476833657506
19:08:14:00,-56.0,-65.0,-67.0,-61.0,-77.0,-78.0,-78.0,-74.0,-74.0,-74.0,-85.0,-84.0,-84.0,-89.0,-58.0,-58.0,-58.0,-70.0,-67.0,-64.0,-70.0,-64.0,-65.0,-89.0,-89.0,,-90.0,-89.0,,,,,,,,,,,,,,44.43487454748325,26.0476833657506
19:08:15:00,-51.0,-57.0,-57.0,-55.0,-59.0,-60.0,-60.0,-76.0,-76.0,-75.0,-85.0,-85.0,-88.0,-86.0,-51.0,-52.0,-51.0,-67.0,-67.0,-63.0,-69.0,-63.0,-63.0,,,,-86.0,-85.0,,,,,,,,,,,,,,44.43487454748267,26.047693861348346
19:08:16:00,-52.0,-62.0,-62.0,-62.0,-57.0,-57.0,-57.0,-72.0,-73.0,-73.0,-85.0,-87.0,-86.0,-87.0,-49.0,-49.0,-49.0,-72.0,-72.0,-56.0,-72.0,-56.0,-55.0,-84.0,-83.0,-83.0,-87.0,-87.0,-92.0,-92.0,-92.0,,,,,,,,,,,44.43488254145239,26.047695960467895
19:08:17:00,-53.0,-56.0,-56.0,-56.0,-61.0,-61.0,-61.0,-81.0,-79.0,-79.0,-85.0,-84.0,-84.0,-86.0,-48.0,-48.0,-48.0,-70.0,-69.0,-59.0,-67.0,-58.0,-58.0,-81.0,-81.0,-81.0,-86.0,-88.0,,-94.0,-92.0,,,,,,,,,,,44.4348935331609,26.047695960467895
19:08:18:00,-54.0,-55.0,-55.0,-52.0,-70.0,-70.0,-71.0,-77.0,-78.0,-78.0,-86.0,-85.0,-85.0,-82.0,-48.0,-48.0,-49.0,-71.0,-73.0,-58.0,-67.0,-59.0,-58.0,-84.0,-84.0,-83.0,-82.0,-82.0,,,,,,,,,,,,,,44.43490377543475,26.047695960467895
19:08:19:00,-55.0,-45.0,-45.0,-45.0,-60.0,-60.0,-60.0,-72.0,-72.0,-72.0,-83.0,-85.0,,,-42.0,-43.0,-43.0,-63.0,-63.0,-58.0,-63.0,-58.0,-58.0,-83.0,-82.0,-82.0,,,,,,,,,,,,,,,,44.4349156593274,26.047695960467895
19:08:20:00,-65.0,-42.0,-43.0,-43.0,-76.0,-75.0,-76.0,-73.0,-73.0,-73.0,-90.0,-89.0,-91.0,-86.0,-49.0,-49.0,-49.0,-55.0,-55.0,-63.0,-55.0,-63.0,-63.0,-85.0,-85.0,-86.0,-87.0,-86.0,,,,,,,,,,,,,,44.4349258088141,26.047695960467895
19:08:21:00,-74.0,-58.0,-58.0,-58.0,-80.0,-80.0,-80.0,-65.0,-65.0,-64.0,-92.0,-93.0,-94.0,-92.0,-56.0,-56.0,-55.0,-62.0,-62.0,-74.0,-62.0,-74.0,-73.0,-88.0,-85.0,-88.0,-94.0,-93.0,,,,,,,,,,,,,,44.43493300338655,26.047703157456404
19:08:22:00,-75.0,-59.0,-63.0,-59.0,-89.0,-89.0,-90.0,-72.0,-72.0,-72.0,-94.0,-94.0,-94.0,-93.0,-56.0,-57.0,-56.0,-57.0,-57.0,-81.0,-57.0,-81.0,-81.0,-87.0,-87.0,-86.0,,-93.0,,,,,,,,,,,,,,44.43493300338555,26.04772114992768
19:08:23:00,-77.0,-66.0,-67.0,-66.0,-92.0,-90.0,-90.0,-59.0,-60.0,-59.0,-94.0,-92.0,-93.0,,-58.0,-58.0,-58.0,-53.0,-53.0,-85.0,-53.0,-84.0,-84.0,-86.0,-85.0,-85.0,,,,,,,,,,,,,,,,44.43493300338469,26.047736893340044
19:08:24:00,-78.0,-75.0,-75.0,-76.0,-89.0,-89.0,-89.0,-64.0,-64.0,-64.0,-92.0,-92.0,-92.0,,-63.0,-64.0,-64.0,-50.0,-49.0,-86.0,-50.0,-85.0,-86.0,-83.0,-83.0,-82.0,,,,,,,,,,,,,,,,44.434933003383826,26.047752636752406
19:08:25:00,-77.0,-74.0,-74.0,-74.0,-93.0,-93.0,-92.0,-72.0,-72.0,-72.0,-93.0,-92.0,-92.0,,-68.0,-70.0,-68.0,-51.0,-52.0,-89.0,-52.0,,,-86.0,-85.0,-84.0,,,,,,,,,,,,,,,,44.43493300338295,26.047768380164772
