,ax,ay,az,gx,gy,gz,mx,my,mz,a_total,g_total,m_total
11:06:21:83,0.18461609,0.99420166,7.8675995,-0.08665466,-0.1763916,-0.07723999,65.4747,-38.249970000000005,-247.12524000000002,7.932316303188741,0.2111611770792058,258.4981838557682
11:06:21:84,0.270813,1.1402435,8.099838,-0.15589905,-0.14125061,-0.064453125,66.29944,-38.69934,-247.95074,8.184184171101311,0.22002375766843957,259.56275566285854
11:06:21:85,0.34742737,1.3533325,8.631363,-0.22833252,-0.079452515,-0.05593872,65.4747,-38.399505000000005,-247.27553999999998,8.743720139091277,0.2481483069146635,258.66400842049086
11:06:21:86,0.33067322,1.4036102,8.894714,-0.29545593,-0.03152466,-0.054870605,64.64996,-38.09967,-246.60034,9.0108492115763,0.30215690303772064,257.76526117812324
11:06:21:87,0.2995453,1.4203644,9.433411,-0.3401947,-0.011276245,-0.061264038,65.025328,-37.3497,-246.224975,9.544443698323148,0.3458509360424741,257.3921847188125
11:06:21:88,0.16786194,1.3868561,9.96492,-0.35084534,-0.010223389,-0.06340027,65.400696,-36.59973,-245.84961,10.062364437815187,0.35667431154827206,257.01910825950165
11:06:21:89,0.07928467,1.3724823,10.371933,-0.33699036,-0.04750061,-0.060195923,64.4256595,-37.5747675,-246.224975,10.462647269176157,0.34560434000331014,257.27658864629717
11:06:21:90,-0.25590515,1.362915,10.7574005,-0.3167572,-0.10076904,-0.060195923,63.450623,-38.549805,-246.60034,10.846413705018897,0.33780626447741247,257.5340690330927
11:06:21:91,-0.4378662,1.2479858,11.248215,-0.29438782,-0.11993408,-0.031433105,63.375091499999996,-38.999939,-246.52481,11.32570245293108,0.3194313888767662,257.5113452339692
11:06:21:92,-0.41871643,1.1737671,11.789307,-0.26455688,-0.13697815,0.005844116,63.29956,-39.450073,-246.44928,11.85499102462939,0.2979723309714819,257.4886214348458
11:06:21:93,-0.2511139,1.1570129,12.292084,-0.21556091,-0.12420654,0.038864136,63.29956,-39.450073,-246.44928,12.34897024470444,0.25180188951996807,257.4886214348458
11:06:21:94,-0.1816864,1.0923615,12.646439,-0.16868591,-0.1210022,0.05378723,63.29956,-39.450073,-246.44928,12.694828985667677,0.21445170726399218,257.4886214348458
11:06:21:95,-0.07633972,0.98223877,12.936127,-0.12927246,-0.10395813,0.060180664,63.150025,-39.450073,-246.674345,12.973588652114334,0.17646635381009435,257.66743573606874
11:06:21:96,-0.1242218,0.8673096,13.094147,-0.079208374,-0.07307434,0.055908203,63.00049,-39.450073,-246.89941,13.123427245024693,0.12140656012279026,257.84625003729167
11:06:21:97,-0.19126892,0.8002777,13.079788,-0.024871826,-0.025131226,0.051651,62.775422,-38.7001035,-246.14944500000001,13.10564314796566,0.06259402567208273,256.95990122026467
11:06:21:98,-0.318161,0.67578125,12.770935,0.024124146,0.054763794,0.055908203,62.550354,-37.950134,-245.39948,12.79275918220919,0.08189490042849408,256.0735524032376
11:06:21:99,-0.41152954,0.59916687,12.359131,0.053955078,0.1485138,0.05378723,62.400054999999995,-38.7001035,-245.39948,12.380487735770316,0.16691484458698988,256.1502465765517
11:06:22:00,-0.5168762,0.5752106,11.882675,0.06781006,0.24118042,0.05697632,62.249756,-39.450073,-245.39948,11.90781228421509,0.2569289790376368,256.22694074986583
11:06:22:01,-0.7084198,0.5704346,11.74382,0.0635376,0.3061676,0.0473938,62.10022,-39.375305,-245.32471,11.778988175488978,0.31626223009072707,256.10756450290415
11:06:22:02,-1.1561279,0.7021179,11.336807,0.053955078,0.32107544,0.048461914,61.950684,-39.300537,-245.24994,11.417214818943709,0.32916431416805053,255.98818825594245
11:06:22:03,-1.4841309,0.6733856,11.205124,0.028396606,0.25717163,0.04953003,61.875152,-39.9002075,-244.57474000000002,11.323025061793256,0.2634327967072001,255.41703040944577
11:06:22:04,-1.6876373,0.6039429,11.2673645,-0.032333374,0.14956665,0.06336975,61.79962,-40.499878,-243.89954,11.409047701656434,0.16562413797967032,254.8458725629491
11:06:22:05,-1.8001709,0.42437744,11.583405,-0.09944153,0.08459473,0.11450195,61.7248525,-40.425109000000006,-243.2251,11.73013140910249,0.1736536287738218,254.1704269716835
11:06:22:06,-1.6469421,0.20172119,12.045486,-0.16548157,0.056900024,0.1773529,61.650085,-40.35034,-242.55066,12.159228704792234,0.24915018338198244,253.4949813804179
11:06:22:07,-1.3644257,-0.27711487,13.161179,-0.18147278,0.0057678223,0.25724792,62.024688499999996,-39.450072500000005,-242.55066,13.234616836615883,0.3148684328403519,253.4465255859757
11:06:22:08,-1.1393738,-0.60990906,13.6184845,-0.08879089,-0.0016937256,0.30944824,62.399292,-38.549805,-242.55066,13.679666728189572,0.32193928634526386,253.39806979153352
11:06:22:09,-0.87361145,-0.7679291,13.527496,0.05609131,-0.011276245,0.3499298,61.6493225,-40.049744000000004,-242.40035999999998,13.577409918619011,0.3545761606296398,253.30886757398207
11:06:22:10,-0.71798706,-0.80384827,12.802048,0.2041626,-0.042175293,0.37443542,60.899353,-41.549683,-242.25006,12.847338652569777,0.4285592214956671,253.2196653564306
11:06:22:11,-0.5743408,-0.85173035,11.8563385,0.2627411,-0.0741272,0.3808136,60.999552,-41.549683,-242.10001666666665,11.900759411492949,0.46855813444439315,253.1003283178963
11:06:22:12,-0.28703308,-0.957077,11.006409,0.34158325,-0.19024658,0.39892578,61.099751,-41.549683,-241.94997333333333,11.051670617975558,0.5585827206697924,252.98099127936197
11:06:22:13,0.11279297,-1.0600281,10.453339,0.34477234,-0.21687317,0.401062,61.19995,-41.549683,-241.79993,10.507553382010107,0.5716228355646095,252.86165424082768
11:06:22:14,0.428833,-1.1174774,10.055908,0.3330536,-0.25523376,0.37976074,60.7498165,-40.499878,-241.349795,10.126891881809728,0.5659392126033017,252.15374290918464
11:06:22:15,0.5557251,-1.1462097,9.893097,0.30429077,-0.28292847,0.3403473,60.299683,-39.450073,-240.89966,9.974767932867064,0.5371011789793649,251.4458315775416
11:06:22:16,0.7759857,-1.2276154,9.601013,0.25741577,-0.29144287,0.28175354,60.974884,-40.1252745,-241.04996,9.710233982921867,0.4801946297295102,251.86071468981532
11:06:22:17,0.9866791,-1.3281708,9.435806,0.20202637,-0.26268005,0.20611572,61.650085,-40.800476,-241.20026,9.579770779616046,0.39025524067525064,252.27559780208904
11:06:22:18,0.7113495,-1.3569031,9.21315,0.14343262,-0.17320251,0.11557007,59.625243999999995,-40.875244,-241.27503,9.339664718630956,0.2528407938410442,251.88003113489123
11:06:22:19,0.21095276,-1.4502716,9.179626,0.06460571,-0.05708313,0.03993225,57.600403,-40.950012,-241.3498,9.295876627870777,0.09501034725367286,251.4844644676934
