,32:cd:a7:a0:6d:d8,84:b2:61:56:8a:01,84:b2:61:56:8a:02,84:b2:61:56:8a:00,84:b2:61:6d:3d:22,84:b2:61:6d:3d:21,84:b2:61:6d:3d:20,84:b2:61:5e:44:22,84:b2:61:5e:44:21,84:b2:61:5e:44:20,84:b2:61:47:dd:42,84:b2:61:47:dd:41,84:b2:61:47:dd:40,84:b2:61:47:e2:c0,84:b2:61:56:8a:0f,84:b2:61:56:8a:0e,84:b2:61:56:8a:0d,84:b2:61:5e:44:2f,84:b2:61:5e:44:2d,84:b2:61:6d:3d:2e,84:b2:61:5e:44:2e,84:b2:61:6d:3d:2d,84:b2:61:6d:3d:2f,84:b2:61:47:dd:4e,84:b2:61:47:dd:4f,84:b2:61:47:dd:4d,84:b2:61:47:e2:c2,84:b2:61:47:e2:c1,84:b2:61:6d:5d:70,84:b2:61:6d:5d:72,84:b2:61:6d:5d:71,84:b2:61:47:e2:ce,84:b2:61:47:e2:cd,84:b2:61:6d:52:a1,84:b2:61:6d:52:a0,84:b2:61:6d:52:a2,84:b2:61:6d:52:af,84:b2:61:40:75:f1,84:b2:61:40:75:f2,84:b2:61:40:75:f0,c4:71:54:39:70:e4,lat,long
14:25:35:00,-38.0,-57.0,-57.0,-57.0,-69.0,-69.0,-69.0,-72.0,-72.0,-71.0,-87.0,-86.0,-86.0,-86.0,-51.0,-51.0,-51.0,-62.0,-62.0,-63.0,-63.0,-64.0,-64.0,-81.0,-81.0,-82.0,-86.0,-88.0,,,,,,,,,,,,,,44.434937499999386,26.047612612997817
14:25:36:00,-47.0,-50.0,-51.0,-51.0,-68.0,-70.0,-70.0,-73.0,-73.0,-73.0,-84.0,-86.0,-85.0,-89.0,-49.0,-49.0,-49.0,-57.0,-57.0,-68.0,-57.0,-68.0,-68.0,,-82.0,-83.0,-89.0,-88.0,,,,,,,,,,,,,,44.434937499998696,26.04762529004718
14:25:37:00,-51.0,-56.0,-56.0,-56.0,-76.0,-76.0,-76.0,-67.0,-69.0,-69.0,-82.0,-82.0,-82.0,-89.0,-49.0,-49.0,-49.0,-61.0,-61.0,-69.0,-61.0,-69.0,-68.0,-82.0,-82.0,-82.0,-87.0,-86.0,,,,,,,,,,,,,,44.434937499997915,26.04763928419258
14:25:38:00,-50.0,-41.0,-41.0,-41.0,-74.0,-71.0,-74.0,-77.0,-76.0,-77.0,-85.0,-86.0,-84.0,-77.0,-46.0,-46.0,-46.0,-65.0,-64.0,-70.0,-64.0,-71.0,-70.0,-81.0,-81.0,-80.0,-77.0,-76.0,,,,,,,,,,,,,,44.43493749999714,26.0476534532648
14:25:41:00,-49.0,-38.0,-37.0,-38.0,,,,-59.0,-59.0,-60.0,-83.0,-83.0,-84.0,-80.0,-49.0,-48.0,-48.0,-57.0,-57.0,-54.0,-57.0,-55.0,-55.0,-80.0,-79.0,-80.0,-79.0,,-88.0,-89.0,-91.0,,,,,,,,,,,44.434937499996,26.04767412961463
14:25:43:00,-48.0,-35.0,-35.0,-35.0,-69.0,-75.0,-69.0,-65.0,-65.0,-67.0,-84.0,-83.0,-83.0,-78.0,-44.0,-44.0,-44.0,-56.0,-57.0,-63.0,-56.0,-62.0,-61.0,-80.0,-79.0,-79.0,-80.0,-80.0,,,,-84.0,-86.0,,,,,,,,,44.434937499995684,26.047682526101873
14:25:45:00,-47.0,-39.0,-39.0,-39.0,-61.0,-60.0,-60.0,-72.0,-70.0,-72.0,-82.0,-83.0,-82.0,-71.0,-49.0,-50.0,-49.0,-69.0,-70.0,-71.0,-70.0,-71.0,-71.0,-82.0,-82.0,-82.0,-74.0,-75.0,,,,,,,,,,,,,,44.43492898010677,26.0476833657506
14:25:46:00,-57.0,-43.0,-43.0,-43.0,-63.0,-64.0,-64.0,-73.0,-73.0,-73.0,-83.0,-83.0,-82.0,-81.0,-52.0,-51.0,-51.0,-70.0,-70.0,-63.0,-71.0,-63.0,-63.0,-84.0,-82.0,-82.0,-81.0,-81.0,-91.0,-90.0,-91.0,,,,,,,,,,,44.43491851431731,26.0476833657506
14:25:47:00,-50.0,-57.0,-57.0,-57.0,-69.0,-69.0,-69.0,-75.0,-75.0,-74.0,-85.0,-86.0,-89.0,-85.0,-55.0,-55.0,-56.0,-71.0,-70.0,-64.0,-70.0,-65.0,-64.0,-86.0,,,-85.0,-84.0,,,,,,,,,,,,,,44.43490795085718,26.0476833657506
14:25:48:00,-49.0,-58.0,-58.0,-58.0,-71.0,-71.0,-71.0,-76.0,-77.0,-77.0,-89.0,-89.0,-90.0,-88.0,-55.0,-56.0,-56.0,-69.0,-69.0,-63.0,-69.0,-63.0,-62.0,-83.0,-82.0,-83.0,-89.0,-89.0,,,,,,,,,,,,,,44.434896530900275,26.0476833657506
