,32:cd:a7:a0:6d:d8,84:b2:61:56:8a:01,84:b2:61:56:8a:02,84:b2:61:56:8a:00,84:b2:61:6d:3d:22,84:b2:61:6d:3d:21,84:b2:61:6d:3d:20,84:b2:61:5e:44:22,84:b2:61:5e:44:21,84:b2:61:5e:44:20,84:b2:61:47:dd:42,84:b2:61:47:dd:41,84:b2:61:47:dd:40,84:b2:61:47:e2:c0,84:b2:61:56:8a:0f,84:b2:61:56:8a:0e,84:b2:61:56:8a:0d,84:b2:61:5e:44:2f,84:b2:61:5e:44:2d,84:b2:61:6d:3d:2e,84:b2:61:5e:44:2e,84:b2:61:6d:3d:2d,84:b2:61:6d:3d:2f,84:b2:61:47:dd:4e,84:b2:61:47:dd:4f,84:b2:61:47:dd:4d,84:b2:61:47:e2:c2,84:b2:61:47:e2:c1,84:b2:61:6d:5d:70,84:b2:61:6d:5d:72,84:b2:61:6d:5d:71,84:b2:61:47:e2:ce,84:b2:61:47:e2:cd,84:b2:61:6d:52:a1,84:b2:61:6d:52:a0,84:b2:61:6d:52:a2,84:b2:61:6d:52:af,84:b2:61:40:75:f1,84:b2:61:40:75:f2,84:b2:61:40:75:f0,c4:71:54:39:70:e4,lat,long
14:25:49:00,-53.0,-53.0,-53.0,-53.0,-65.0,-65.0,-65.0,-70.0,-70.0,-70.0,-89.0,-88.0,-87.0,-84.0,-55.0,-56.0,-55.0,-68.0,-68.0,-64.0,-70.0,-63.0,-63.0,-83.0,-85.0,-84.0,-85.0,-88.0,,,,,,,,,,,,,,44.434886538437986,26.0476833657506
14:25:50:00,-55.0,-63.0,-65.0,-59.0,-75.0,-76.0,-76.0,-72.0,-72.0,-72.0,-82.0,-81.0,-81.0,-86.0,-57.0,-57.0,-57.0,-68.0,-65.0,-62.0,-68.0,-62.0,-63.0,-86.0,-86.0,,-87.0,-86.0,,,,,,,,,,,,,,44.434875671635254,26.0476833657506
14:25:51:00,-50.0,-56.0,-56.0,-54.0,-57.0,-58.0,-58.0,-74.0,-74.0,-73.0,-82.0,-82.0,-85.0,-83.0,-50.0,-51.0,-50.0,-65.0,-65.0,-61.0,-67.0,-61.0,-61.0,,,,-83.0,-82.0,,,,,,,,,,,,,,44.43487454748256,26.047695960467895
14:25:52:00,-51.0,-60.0,-60.0,-60.0,-56.0,-56.0,-56.0,-70.0,-71.0,-71.0,-82.0,-84.0,-83.0,-84.0,-48.0,-48.0,-48.0,-70.0,-70.0,-55.0,-70.0,-55.0,-54.0,-81.0,-80.0,-80.0,-84.0,-84.0,-89.0,-89.0,-89.0,,,,,,,,,,,44.43488354069862,26.047695960467895
14:25:53:00,-52.0,-55.0,-55.0,-55.0,-59.0,-59.0,-59.0,-78.0,-76.0,-76.0,-82.0,-81.0,-81.0,-83.0,-46.0,-46.0,-46.0,-68.0,-67.0,-57.0,-65.0,-57.0,-57.0,-78.0,-78.0,-78.0,-83.0,-85.0,,-91.0,-89.0,,,,,,,,,,,44.434893433236276,26.047695960467895
14:25:54:00,-53.0,-54.0,-54.0,-51.0,-68.0,-68.0,-69.0,-75.0,-76.0,-76.0,-83.0,-82.0,-82.0,-79.0,-46.0,-46.0,-47.0,-69.0,-71.0,-57.0,-65.0,-57.0,-57.0,-81.0,-81.0,-80.0,-79.0,-79.0,,,,,,,,,,,,,,44.43490281187589,26.047695960467895
14:25:55:00,-54.0,-43.0,-43.0,-43.0,-58.0,-58.0,-58.0,-70.0,-70.0,-70.0,-80.0,-82.0,,,-40.0,-41.0,-41.0,-61.0,-61.0,-57.0,-61.0,-57.0,-57.0,-80.0,-79.0,-79.0,,,,,,,,,,,,,,,,44.43491451733171,26.047695960467895
14:25:56:00,-63.0,-40.0,-41.0,-41.0,-74.0,-73.0,-74.0,-71.0,-71.0,-71.0,-87.0,-86.0,-88.0,-83.0,-47.0,-47.0,-47.0,-54.0,-54.0,-61.0,-54.0,-61.0,-61.0,-82.0,-82.0,-83.0,-84.0,-83.0,,,,,,,,,,,,,,44.434925134322896,26.047695960467895
14:25:57:00,-72.0,-57.0,-57.0,-57.0,-77.0,-77.0,-77.0,-63.0,-63.0,-62.0,-89.0,-90.0,-91.0,-89.0,-55.0,-55.0,-54.0,-60.0,-60.0,-72.0,-60.0,-72.0,-71.0,-85.0,-82.0,-85.0,-91.0,-90.0,,,,,,,,,,,,,,44.43493300338684,26.04769775971502
14:25:58:01,-71.0,-62.0,-62.0,-62.0,-89.0,-90.0,-88.0,-73.0,-74.0,-73.0,-90.0,-90.0,-89.0,-90.0,-57.0,-57.0,-57.0,-54.0,-54.0,-78.0,-54.0,-78.0,-78.0,-86.0,-87.0,,,-90.0,,,,,,,,,,,,,,44.43493300338589,26.047715009996857
14:25:59:00,-73.0,-57.0,-61.0,-57.0,-86.0,-86.0,-87.0,-70.0,-70.0,-70.0,-91.0,-91.0,-91.0,,-55.0,-56.0,-55.0,-56.0,-56.0,-78.0,-56.0,-78.0,-78.0,-84.0,-84.0,-83.0,,,,,,,,,,,,,,,,44.43493300338509,26.047729546414274
14:26:00:00,-75.0,-64.0,-65.0,-64.0,-89.0,-87.0,-87.0,-57.0,-58.0,-57.0,-91.0,-89.0,-90.0,,-57.0,-57.0,-57.0,-52.0,-52.0,-82.0,-52.0,-81.0,-81.0,-83.0,-82.0,-82.0,,,,,,,,,,,,,,,,44.43493300338426,26.047744765046225
14:26:01:00,-75.0,-72.0,-72.0,-72.0,-90.0,-90.0,-89.0,-70.0,-70.0,-70.0,-90.0,-89.0,-89.0,,-66.0,-68.0,-66.0,-50.0,-51.0,-86.0,-51.0,-82.0,-83.0,-83.0,-82.0,-81.0,,,,,,,,,,,,,,,,44.43493300338348,26.047758934117354
14:26:02:00,-77.0,-71.0,-71.0,-72.0,-89.0,-90.0,-90.0,-58.0,-58.0,-58.0,-88.0,-88.0,-89.0,,-64.0,-64.0,-64.0,-48.0,-49.0,,-50.0,,,-79.0,-79.0,-81.0,,,,,,,,,,,,,,,,44.434933003382625,26.047774327676112
14:26:03:00,-77.0,-80.0,-80.0,-79.0,-89.0,-90.0,-87.0,-49.0,-49.0,-49.0,-86.0,,-86.0,,-63.0,-62.0,-63.0,-43.0,-44.0,,-44.0,-86.0,-86.0,-76.0,-76.0,-76.0,,,,,,,,,,,,,,,,44.43493300338183,26.047788846600845
14:26:04:00,-83.0,-78.0,-79.0,-78.0,,-90.0,-90.0,-53.0,-52.0,-53.0,-86.0,-84.0,-86.0,,-71.0,-71.0,-71.0,-47.0,-47.0,,-48.0,,,-77.0,-76.0,-77.0,,,,,,,,-91.0,,,,,,,,44.43493300338101,26.04780371537919
14:26:05:00,-78.0,-69.0,-69.0,-69.0,-82.0,-82.0,-82.0,-48.0,-48.0,-48.0,-71.0,-71.0,-69.0,,-67.0,-68.0,-68.0,-44.0,-43.0,-82.0,-43.0,-82.0,-82.0,-57.0,-57.0,-57.0,,,,,,,,-88.0,-87.0,-87.0,,,,,,44.43493300338011,26.04782010851968
14:26:06:00,-68.0,-58.0,-60.0,-60.0,,-79.0,-80.0,-45.0,-45.0,-45.0,-64.0,-64.0,-64.0,,-60.0,-60.0,-60.0,-44.0,-44.0,-75.0,,-75.0,-75.0,-54.0,-54.0,-54.0,,,,,,,,-78.0,-76.0,-77.0,-86.0,-91.0,-91.0,-91.0,,44.43493300337924,26.04783590191113
14:26:07:00,-73.0,-67.0,-67.0,-65.0,-78.0,-81.0,-77.0,-51.0,-51.0,-51.0,-63.0,-62.0,-64.0,,-60.0,-60.0,-60.0,-48.0,,-79.0,-49.0,-79.0,-79.0,,-51.0,,,,,,,,,-81.0,-79.0,-77.0,,,,,,44.43493300337845,26.047850245909064
14:26:08:00,-62.0,-57.0,-57.0,-57.0,-87.0,-88.0,-88.0,-47.0,-47.0,-46.0,-61.0,-61.0,-60.0,,-61.0,-65.0,-63.0,-46.0,-46.0,-80.0,-46.0,-79.0,-79.0,-48.0,-48.0,-48.0,,,,,,,,-80.0,-82.0,-81.0,,,,,,44.434933003377616,26.04786528961421
14:26:09:00,-61.0,-74.0,-71.0,-73.0,,,,-45.0,-45.0,-45.0,-57.0,-57.0,-57.0,,-61.0,-61.0,-61.0,-38.0,-38.0,-86.0,-38.0,-84.0,-83.0,-59.0,-59.0,-58.0,,,,,,,,,-78.0,,,,,,,44.4349330033768,26.047880158392555
14:26:10:00,-71.0,-60.0,-60.0,-60.0,-89.0,-88.0,-87.0,-48.0,-48.0,-48.0,-76.0,-75.0,-76.0,,-62.0,-62.0,-63.0,-49.0,-48.0,-83.0,-49.0,-83.0,-82.0,-71.0,-72.0,-73.0,,,,,,,,-79.0,-80.0,-80.0,,,,,,44.43493497064255,26.047884881416262
14:26:14:00,-71.0,-60.0,-60.0,-60.0,-89.0,-88.0,-87.0,-48.0,-48.0,-48.0,-76.0,-75.0,-76.0,,-62.0,-62.0,-63.0,-49.0,-48.0,-83.0,-49.0,-83.0,-82.0,-71.0,-72.0,-73.0,,,,,,,,-79.0,-80.0,-80.0,,,,,,44.43493749998394,26.047896364847343
14:26:15:01,-69.0,-69.0,-71.0,-71.0,-86.0,-86.0,-81.0,-50.0,-50.0,-50.0,-73.0,-72.0,-72.0,,-63.0,-63.0,-63.0,-42.0,-44.0,-81.0,-43.0,-81.0,-81.0,-69.0,-68.0,-68.0,,,,,,,,-83.0,-80.0,-81.0,,,,,,44.43493749998375,26.04790194727658
14:26:18:00,-75.0,-68.0,-65.0,-69.0,,,,-57.0,-56.0,-56.0,-76.0,-76.0,-76.0,,-58.0,-56.0,-57.0,-46.0,-48.0,-84.0,-50.0,-83.0,-82.0,-76.0,-76.0,-76.0,,,,,,,,,,,,,,,,44.43492912698944,26.047903773512555
14:26:19:00,-73.0,-66.0,-68.0,-68.0,-87.0,-87.0,-87.0,-59.0,-59.0,-59.0,-77.0,-78.0,-79.0,,-69.0,-69.0,-70.0,-48.0,-49.0,,-49.0,,-85.0,-75.0,-75.0,-74.0,,,,,,,,-87.0,-85.0,-86.0,,,,,,44.43492131219479,26.047903773512555
14:26:20:00,-75.0,-75.0,-75.0,-75.0,-86.0,-85.0,-85.0,-57.0,-57.0,-57.0,-68.0,-69.0,-69.0,,-74.0,-74.0,-74.0,-55.0,-54.0,-83.0,-55.0,-84.0,-83.0,-73.0,-72.0,-72.0,,,,,,,,-89.0,-86.0,-88.0,,,,,,44.434910520335514,26.047903773512555
14:26:21:00,-77.0,,,,-87.0,-87.0,-85.0,-67.0,-67.0,-67.0,,,,,-75.0,-75.0,-75.0,-57.0,-57.0,-83.0,-57.0,-82.0,-82.0,-78.0,-77.0,-77.0,,,,,,,,-89.0,-90.0,-90.0,,,,,,44.43489852938076,26.047903773512555
14:26:22:00,-83.0,-76.0,-76.0,-76.0,-88.0,-90.0,-90.0,-65.0,-65.0,-65.0,-70.0,-70.0,-70.0,,-74.0,-73.0,-72.0,-60.0,-61.0,,-61.0,,,-75.0,-75.0,-75.0,,,,,,,,,,,,,,,,44.43488853691847,26.047903773512555
14:26:23:00,-79.0,-71.0,-71.0,-69.0,-87.0,-88.0,-87.0,-62.0,-62.0,-62.0,-75.0,-76.0,-76.0,,-73.0,-73.0,-73.0,-60.0,-60.0,,-60.0,,-86.0,-76.0,-76.0,-76.0,,,,,,,,-89.0,,-88.0,,,,,,44.434877116961566,26.047903773512555
14:26:24:00,-73.0,-71.0,-71.0,-71.0,-87.0,-87.0,-85.0,-63.0,-64.0,-64.0,-81.0,-80.0,-81.0,,-75.0,-74.0,-74.0,-59.0,-60.0,,-60.0,-86.0,-85.0,-76.0,-76.0,-76.0,,,,,,,,-89.0,-88.0,-88.0,,,,,,44.43487454747057,26.047916368229846
14:26:25:00,-77.0,-75.0,-75.0,-75.0,-86.0,-85.0,-85.0,-58.0,-58.0,-58.0,-83.0,-84.0,-84.0,,-74.0,-74.0,-74.0,-57.0,-57.0,,-58.0,,,,,,,,,,,,,,,,,,,,,44.43487454746974,26.047931481890597
14:26:26:00,-79.0,-76.0,-75.0,-76.0,-88.0,-88.0,-88.0,-63.0,-63.0,-64.0,-79.0,-79.0,-77.0,,-69.0,-70.0,-69.0,-59.0,-59.0,,-59.0,,,-76.0,-76.0,-76.0,,,,,,,,,,,,,,,,44.4348767957732,26.04794155766443
14:26:27:00,-80.0,-73.0,-73.0,-73.0,,,,-59.0,-59.0,-59.0,-81.0,-80.0,-80.0,,-74.0,-74.0,-73.0,-53.0,-53.0,,-53.0,,-85.0,-75.0,-75.0,-75.0,,,,,,,,,,,,,,,,44.43488803729327,26.04794155766443
14:26:28:00,-77.0,-81.0,-80.0,-80.0,-86.0,-84.0,-86.0,-58.0,-58.0,-58.0,-83.0,-75.0,-76.0,,-71.0,-70.0,-71.0,-56.0,-56.0,,-56.0,,,-77.0,-76.0,-76.0,,,,,,,,-90.0,-90.0,-90.0,,,,,,44.43489927881335,26.04794155766443
14:26:29:00,-75.0,-65.0,-67.0,-65.0,-86.0,-85.0,-85.0,-58.0,-57.0,-58.0,-70.0,-70.0,-70.0,,-68.0,-68.0,-65.0,-54.0,-56.0,-83.0,-55.0,-85.0,-84.0,-75.0,-75.0,-74.0,,,,,,,,-89.0,,,,,,,,44.43491052033342,26.04794155766443
14:26:30:00,-69.0,-65.0,-65.0,-68.0,,,,-59.0,-59.0,-60.0,-71.0,-71.0,-71.0,,-61.0,-61.0,-61.0,-51.0,-53.0,-85.0,-52.0,-84.0,-83.0,-76.0,-75.0,-75.0,,,,,,,,,,,,,,,,44.434922886005495,26.04794155766443
14:26:31:00,-69.0,-65.0,-65.0,-68.0,,,,-59.0,-59.0,-60.0,-71.0,-71.0,-71.0,,-61.0,-61.0,-61.0,-51.0,-53.0,-85.0,-52.0,-84.0,-83.0,-76.0,-75.0,-75.0,,,,,,,,,,,,,,,,44.43493300337356,26.04794155766443
14:26:32:00,-72.0,-63.0,-62.0,-62.0,-88.0,-90.0,-88.0,-55.0,-55.0,-55.0,-73.0,-73.0,-74.0,,-57.0,-57.0,-57.0,-45.0,-45.0,-85.0,-46.0,-83.0,-82.0,-72.0,-71.0,-72.0,,,,,,,,-86.0,-86.0,-87.0,,,,,,44.43493749998141,26.047935260299
14:26:33:00,-72.0,-63.0,-62.0,-62.0,-88.0,-90.0,-88.0,-55.0,-55.0,-55.0,-73.0,-73.0,-74.0,,-57.0,-57.0,-57.0,-45.0,-45.0,-85.0,-46.0,-83.0,-82.0,-72.0,-71.0,-72.0,,,,,,,,-86.0,-86.0,-87.0,,,,,,44.434937499980464,26.047917942544068
14:26:34:00,-64.0,-58.0,-58.0,-58.0,-84.0,-86.0,-86.0,-50.0,-49.0,-49.0,-72.0,-72.0,-70.0,,-59.0,-59.0,-59.0,-46.0,-47.0,-79.0,-43.0,-79.0,-79.0,-64.0,-61.0,-62.0,,,,,,,,-82.0,-81.0,-79.0,,,,,,44.43493749997992,26.047906134983883
14:26:35:00,-64.0,-58.0,-58.0,-58.0,-84.0,-86.0,-86.0,-50.0,-49.0,-49.0,-72.0,-72.0,-70.0,,-59.0,-59.0,-59.0,-46.0,-47.0,-79.0,-43.0,-79.0,-79.0,-64.0,-61.0,-62.0,,,,,,,,-82.0,-81.0,-79.0,,,,,,44.434937499979746,26.047900100008683
14:26:39:00,-64.0,-54.0,-54.0,-54.0,-82.0,-85.0,-84.0,-46.0,-45.0,-45.0,-59.0,-59.0,-59.0,,-57.0,-57.0,-57.0,-45.0,-45.0,-77.0,-45.0,-78.0,-77.0,-57.0,-57.0,-57.0,,,,,,,,-88.0,-89.0,-86.0,,,,,,44.43493749997898,26.047884881375563
14:26:40:00,-62.0,-55.0,-55.0,-55.0,-89.0,-90.0,-91.0,-42.0,-42.0,-42.0,-57.0,-57.0,-56.0,-89.0,-56.0,,-56.0,-41.0,-41.0,,-42.0,-76.0,-76.0,-56.0,-55.0,-56.0,-90.0,-91.0,,,,,,-93.0,,,,,,,,44.43494199658693,26.047883481960916
14:26:41:00,-63.0,-57.0,-57.0,-56.0,-80.0,-77.0,-76.0,-42.0,-42.0,-42.0,-58.0,-58.0,-58.0,-91.0,-58.0,-58.0,-58.0,-42.0,-42.0,-76.0,-43.0,-76.0,-76.0,-60.0,-60.0,-61.0,-91.0,-90.0,,,,,,-79.0,-79.0,-79.0,,,,,,44.43494199658614,26.047869137960774
14:26:42:00,-63.0,-49.0,-49.0,-49.0,-82.0,-79.0,-80.0,-51.0,-51.0,-50.0,-75.0,-75.0,-75.0,,-52.0,-53.0,-52.0,-42.0,-43.0,-78.0,-44.0,-78.0,-78.0,-72.0,-71.0,-71.0,,,,,,,,-88.0,-85.0,-88.0,,,,,,44.43494199658527,26.047853394545985
14:26:43:00,-57.0,-52.0,-52.0,-52.0,-78.0,-77.0,-77.0,-49.0,-49.0,-49.0,-76.0,-76.0,-76.0,,-57.0,-57.0,-57.0,-48.0,-48.0,-77.0,-49.0,-76.0,-76.0,-73.0,-74.0,-74.0,,,,,,,,-88.0,-89.0,-88.0,,,,,,44.43494199658446,26.047838700692182
14:26:44:00,-68.0,-49.0,-49.0,-49.0,-84.0,-84.0,-81.0,-61.0,-61.0,-61.0,-80.0,-81.0,-81.0,-94.0,-53.0,-54.0,-54.0,-49.0,-49.0,-80.0,-48.0,-81.0,-80.0,-76.0,-76.0,-76.0,-90.0,-88.0,,,,,,-89.0,-87.0,-90.0,,,,,,44.43494199658353,26.047821907716408
14:26:45:00,-68.0,-49.0,-49.0,-49.0,-84.0,-84.0,-81.0,-61.0,-61.0,-61.0,-80.0,-81.0,-81.0,-94.0,-53.0,-54.0,-54.0,-49.0,-49.0,-80.0,-48.0,-81.0,-80.0,-76.0,-76.0,-76.0,-90.0,-88.0,,,,,,-89.0,-87.0,-90.0,,,,,,44.43494199658276,26.0478077386431
14:26:46:00,-68.0,-49.0,-49.0,-49.0,-84.0,-84.0,-81.0,-61.0,-61.0,-61.0,-80.0,-81.0,-81.0,-94.0,-53.0,-54.0,-54.0,-49.0,-49.0,-80.0,-48.0,-81.0,-80.0,-76.0,-76.0,-76.0,-90.0,-88.0,,,,,,-89.0,-87.0,-90.0,,,,,,44.43494199658192,26.047792520008805
14:26:47:00,-60.0,-49.0,-49.0,-49.0,-78.0,-78.0,-78.0,-57.0,-57.0,-57.0,-86.0,-88.0,-87.0,-86.0,-49.0,-49.0,-49.0,-52.0,-53.0,-75.0,-52.0,-74.0,-74.0,-82.0,-82.0,-81.0,-86.0,-84.0,,,,,,-91.0,,-92.0,,,,,,44.43494199658128,26.047777826155002
14:26:48:00,-62.0,-47.0,-47.0,-47.0,-79.0,-78.0,-79.0,-64.0,-64.0,-64.0,-82.0,-82.0,-82.0,-82.0,-47.0,-47.0,-47.0,-51.0,-51.0,-75.0,-51.0,-75.0,-75.0,-82.0,-82.0,-83.0,-79.0,-81.0,,,,,,-91.0,,-92.0,,,,,,44.43494199658053,26.047761033179235
14:26:49:01,-57.0,-39.0,-40.0,-40.0,-71.0,-71.0,-66.0,-64.0,-65.0,-64.0,-88.0,-88.0,-88.0,-79.0,-42.0,-41.0,-41.0,-57.0,-57.0,-68.0,-53.0,-69.0,-68.0,-80.0,-79.0,-80.0,-79.0,-79.0,,,,,,,,-91.0,,,,,,44.4349419965801,26.047747756232766
14:26:50:00,-56.0,-42.0,-42.0,-41.0,-57.0,-57.0,-57.0,-61.0,-61.0,-60.0,-79.0,-79.0,-78.0,-83.0,-45.0,-45.0,-46.0,-53.0,-53.0,-53.0,-53.0,-54.0,-54.0,-78.0,-78.0,-78.0,-84.0,-84.0,,,,,,,,,,,,,,44.434941996579546,26.04773094576431
14:26:51:00,-56.0,-47.0,-47.0,-47.0,-60.0,-61.0,-60.0,-63.0,-62.0,-63.0,-80.0,-80.0,-82.0,-75.0,-44.0,-44.0,-44.0,-60.0,-60.0,-56.0,-60.0,-56.0,-56.0,-81.0,-80.0,-80.0,-75.0,-75.0,-89.0,-91.0,-89.0,,,,,-91.0,,,,,,44.43494199657876,26.04771642683734
14:26:52:00,-52.0,-40.0,-40.0,-40.0,-62.0,-63.0,-63.0,-61.0,-61.0,-61.0,-82.0,-83.0,-82.0,-81.0,-41.0,-41.0,-40.0,-54.0,-54.0,-57.0,-54.0,-57.0,-57.0,-78.0,-79.0,-78.0,-80.0,-82.0,,,,,,,,,,,,,,44.43494199657789,26.04770068342255
14:26:53:00,-55.0,-37.0,-37.0,-37.0,,,,-64.0,-63.0,-63.0,-85.0,-86.0,-85.0,-82.0,-43.0,-44.0,-44.0,-59.0,-59.0,-51.0,-60.0,-52.0,-51.0,-82.0,-82.0,-83.0,-82.0,-82.0,,,,,,,,,,,,,,44.434938499215825,26.047695960398116
14:26:54:00,-51.0,-39.0,-39.0,-39.0,,,,-60.0,-60.0,-60.0,-86.0,-86.0,-86.0,-81.0,-43.0,-43.0,-42.0,-61.0,-60.0,-64.0,-60.0,-64.0,-63.0,-83.0,-82.0,-83.0,-81.0,-76.0,,,,,,,,,,,,,,44.43493749996922,26.04768924320832
14:26:56:00,-51.0,-51.0,-51.0,-51.0,-84.0,-85.0,-83.0,-76.0,-75.0,-75.0,-85.0,-87.0,-87.0,-79.0,-48.0,-49.0,-48.0,-68.0,-68.0,-73.0,-67.0,-72.0,-72.0,-82.0,-82.0,-81.0,-80.0,-79.0,,,,,,,,,,,,,,44.43493749996872,26.047677068301827
14:27:00:01,-47.0,-67.0,-64.0,-64.0,-74.0,-74.0,-74.0,-76.0,-76.0,-76.0,-90.0,-90.0,-89.0,,-45.0,-45.0,-45.0,-59.0,-60.0,-71.0,-59.0,-71.0,-71.0,-81.0,-81.0,-82.0,,,,,,,,,,,,,,,,44.43493749996815,26.047666761185347
14:27:01:00,-55.0,-54.0,-53.0,-54.0,-70.0,-70.0,-71.0,-69.0,-69.0,-69.0,-86.0,-86.0,-87.0,-86.0,-52.0,-52.0,-52.0,-62.0,-62.0,-70.0,-62.0,-71.0,-71.0,-85.0,-85.0,-83.0,-87.0,-87.0,,,,,,,,,,,,,-93.0,44.43493749996795,26.04766321409788
14:27:02:00,-47.0,-47.0,-47.0,-47.0,-72.0,-72.0,-72.0,-76.0,-75.0,-76.0,-88.0,-88.0,-86.0,-85.0,-50.0,-50.0,-51.0,-60.0,-60.0,-67.0,-60.0,-68.0,-68.0,-82.0,-82.0,-82.0,-85.0,-86.0,,,,,,,,,,,,,,44.43493749996725,26.047650479425567
14:27:03:00,-48.0,-54.0,-53.0,-53.0,-77.0,-77.0,-76.0,-76.0,-77.0,-76.0,-88.0,-87.0,-89.0,-87.0,-54.0,-54.0,-54.0,-64.0,-64.0,-68.0,-64.0,-68.0,-67.0,,-86.0,-86.0,-87.0,-88.0,,,,,,,,,,,,,,44.43493749996648,26.04763648528017
14:27:04:00,-44.0,-59.0,-59.0,-59.0,-70.0,-70.0,-70.0,-72.0,-72.0,-72.0,-86.0,-86.0,-87.0,-88.0,-52.0,-53.0,-52.0,-61.0,-61.0,-61.0,-61.0,-61.0,-61.0,-83.0,-83.0,-83.0,-87.0,-89.0,,,,,,,,,,,,,,44.43493749996571,26.04762249113477
