,32:cd:a7:a0:6d:d8,84:b2:61:56:8a:01,84:b2:61:56:8a:02,84:b2:61:56:8a:00,84:b2:61:6d:3d:22,84:b2:61:6d:3d:21,84:b2:61:6d:3d:20,84:b2:61:5e:44:22,84:b2:61:5e:44:21,84:b2:61:5e:44:20,84:b2:61:47:dd:42,84:b2:61:47:dd:41,84:b2:61:47:dd:40,84:b2:61:47:e2:c0,84:b2:61:56:8a:0f,84:b2:61:56:8a:0e,84:b2:61:56:8a:0d,84:b2:61:5e:44:2f,84:b2:61:5e:44:2d,84:b2:61:6d:3d:2e,84:b2:61:5e:44:2e,84:b2:61:6d:3d:2d,84:b2:61:6d:3d:2f,84:b2:61:47:dd:4e,84:b2:61:47:dd:4f,84:b2:61:47:dd:4d,84:b2:61:47:e2:c2,84:b2:61:47:e2:c1,84:b2:61:6d:5d:70,84:b2:61:6d:5d:72,84:b2:61:6d:5d:71,84:b2:61:47:e2:ce,84:b2:61:47:e2:cd,84:b2:61:6d:52:a1,84:b2:61:6d:52:a0,84:b2:61:6d:52:a2,84:b2:61:6d:52:af,84:b2:61:40:75:f1,84:b2:61:40:75:f2,84:b2:61:40:75:f0,c4:71:54:39:70:e4,lat,long
12:15:53:00,-39.0,-58.0,-58.0,-58.0,-70.0,-70.0,-70.0,-73.0,-73.0,-72.0,-89.0,-88.0,-88.0,-88.0,-52.0,-52.0,-52.0,-64.0,-64.0,-64.0,-64.0,-65.0,-65.0,-83.0,-83.0,-84.0,-88.0,-90.0,,,,,,,,,,,,,,44.434937499999386,26.047612520389503
12:15:54:00,-48.0,-51.0,-52.0,-52.0,-69.0,-71.0,-71.0,-74.0,-74.0,-74.0,-86.0,-88.0,-87.0,-91.0,-50.0,-50.0,-50.0,-58.0,-58.0,-69.0,-58.0,-69.0,-69.0,,-84.0,-85.0,-91.0,-90.0,,,,,,,,,,,,,,44.434937499998746,26.047624170515547
12:15:55:00,-45.0,-52.0,-52.0,-52.0,-72.0,-71.0,-71.0,-73.0,-73.0,-73.0,-89.0,-88.0,-89.0,-91.0,-52.0,-52.0,-52.0,-57.0,-58.0,-64.0,-58.0,-65.0,-64.0,-84.0,-84.0,-85.0,-90.0,-91.0,,,,,,,,,,,,,,44.43493749999805,26.04763676524641
12:15:56:00,-51.0,-42.0,-42.0,-42.0,-75.0,-72.0,-75.0,-79.0,-77.0,-79.0,-87.0,-88.0,-86.0,-79.0,-47.0,-47.0,-47.0,-66.0,-65.0,-71.0,-65.0,-72.0,-71.0,-83.0,-83.0,-82.0,-79.0,-78.0,,,,,,,,,,,,,,44.434937499997226,26.047651878923443
12:15:59:00,-50.0,-38.0,-37.0,-38.0,,,,-61.0,-61.0,-62.0,-85.0,-85.0,-86.0,-82.0,-50.0,-49.0,-49.0,-58.0,-59.0,-55.0,-58.0,-56.0,-56.0,-82.0,-81.0,-82.0,-81.0,,-90.0,-91.0,-93.0,,,,,,,,,,,44.43493749999603,26.047673593976654
12:16:01:00,-49.0,-35.0,-35.0,-35.0,-70.0,-76.0,-70.0,-66.0,-66.0,-68.0,-86.0,-85.0,-85.0,-80.0,-45.0,-45.0,-45.0,-57.0,-58.0,-64.0,-57.0,-64.0,-63.0,-82.0,-81.0,-81.0,-82.0,-82.0,,,,-86.0,-88.0,,,,,,,,,44.43493749999566,26.047683365750597
12:16:03:00,-53.0,-38.0,-38.0,-38.0,-63.0,-63.0,-64.0,-64.0,-64.0,-65.0,-83.0,-83.0,-83.0,-75.0,-44.0,-44.0,-44.0,-57.0,-58.0,-63.0,-58.0,-63.0,-62.0,-82.0,-82.0,-82.0,-75.0,-75.0,,,,,,,,,,,,,,44.43492893502799,26.0476833657506
12:16:04:00,-58.0,-44.0,-44.0,-44.0,-64.0,-65.0,-65.0,-74.0,-74.0,-74.0,-85.0,-85.0,-84.0,-83.0,-53.0,-52.0,-52.0,-71.0,-71.0,-64.0,-72.0,-64.0,-64.0,-86.0,-84.0,-84.0,-83.0,-83.0,-93.0,-92.0,-93.0,,,,,,,,,,,44.43491951356354,26.0476833657506
12:16:05:00,-51.0,-58.0,-58.0,-58.0,-70.0,-70.0,-70.0,-76.0,-76.0,-75.0,-87.0,-88.0,-91.0,-87.0,-56.0,-56.0,-57.0,-72.0,-71.0,-65.0,-71.0,-66.0,-65.0,-88.0,,,-87.0,-86.0,,,,,,,,,,,,,,44.43490852185502,26.0476833657506
12:16:06:00,-50.0,-60.0,-60.0,-60.0,-72.0,-72.0,-72.0,-78.0,-79.0,-79.0,-91.0,-91.0,-92.0,-90.0,-56.0,-57.0,-57.0,-70.0,-70.0,-64.0,-70.0,-64.0,-64.0,-85.0,-84.0,-85.0,-91.0,-91.0,,,,,,,,,,,,,,44.4348981546754,26.0476833657506
