,32:cd:a7:a0:6d:d8,84:b2:61:56:8a:01,84:b2:61:56:8a:02,84:b2:61:56:8a:00,84:b2:61:6d:3d:22,84:b2:61:6d:3d:21,84:b2:61:6d:3d:20,84:b2:61:5e:44:22,84:b2:61:5e:44:21,84:b2:61:5e:44:20,84:b2:61:47:dd:42,84:b2:61:47:dd:41,84:b2:61:47:dd:40,84:b2:61:47:e2:c0,84:b2:61:56:8a:0f,84:b2:61:56:8a:0e,84:b2:61:56:8a:0d,84:b2:61:5e:44:2f,84:b2:61:5e:44:2d,84:b2:61:6d:3d:2e,84:b2:61:5e:44:2e,84:b2:61:6d:3d:2d,84:b2:61:6d:3d:2f,84:b2:61:47:dd:4e,84:b2:61:47:dd:4f,84:b2:61:47:dd:4d,84:b2:61:47:e2:c2,84:b2:61:47:e2:c1,84:b2:61:6d:5d:70,84:b2:61:6d:5d:72,84:b2:61:6d:5d:71,84:b2:61:47:e2:ce,84:b2:61:47:e2:cd,84:b2:61:6d:52:a1,84:b2:61:6d:52:a0,84:b2:61:6d:52:a2,84:b2:61:6d:52:af,84:b2:61:40:75:f1,84:b2:61:40:75:f2,84:b2:61:40:75:f0,c4:71:54:39:70:e4,lat,long
12:17:14:00,-56.0,-55.0,-54.0,-55.0,-71.0,-71.0,-72.0,-70.0,-70.0,-70.0,-88.0,-88.0,-89.0,-88.0,-53.0,-53.0,-53.0,-64.0,-64.0,-71.0,-64.0,-72.0,-72.0,-87.0,-87.0,-85.0,-89.0,-89.0,,,,,,,,,,,,,-95.0,44.4349374999677,26.047658748693305
12:17:15:00,-48.0,-48.0,-48.0,-48.0,-73.0,-73.0,-73.0,-77.0,-76.0,-77.0,-90.0,-90.0,-88.0,-87.0,-51.0,-51.0,-52.0,-62.0,-62.0,-68.0,-62.0,-69.0,-69.0,-84.0,-84.0,-84.0,-87.0,-88.0,,,,,,,,,,,,,,44.434937499966864,26.047643482352868
12:17:16:00,-49.0,-55.0,-54.0,-54.0,-79.0,-79.0,-78.0,-78.0,-79.0,-78.0,-90.0,-89.0,-91.0,-89.0,-55.0,-55.0,-55.0,-65.0,-65.0,-69.0,-65.0,-69.0,-68.0,,-88.0,-88.0,-89.0,-90.0,,,,,,,,,,,,,,44.43493749996613,26.047630124304987
12:17:17:00,-45.0,-61.0,-61.0,-61.0,-71.0,-71.0,-71.0,-73.0,-73.0,-73.0,-88.0,-88.0,-89.0,-90.0,-53.0,-54.0,-53.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-85.0,-85.0,-85.0,-89.0,-91.0,,,,,,,,,,,,,,44.434937499965336,26.04761566898889
12:17:19:00,-45.0,-61.0,-61.0,-61.0,-71.0,-71.0,-71.0,-73.0,-73.0,-73.0,-88.0,-88.0,-89.0,-90.0,-53.0,-54.0,-53.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-85.0,-85.0,-85.0,-89.0,-91.0,,,,,,,,,,,,,,44.43493749996456,26.04760149991667
13:03:25:00,-41.0,-61.0,-61.0,-61.0,-74.0,-74.0,-74.0,-77.0,-77.0,-76.0,-93.0,-92.0,-92.0,-92.0,-55.0,-55.0,-55.0,-67.0,-67.0,-68.0,-68.0,-69.0,-69.0,-87.0,-87.0,-88.0,-92.0,-94.0,,,,,,,,,,,,,,44.43493749999931,26.04761409473086
13:03:26:00,-47.0,-55.0,-55.0,-55.0,-76.0,-75.0,-75.0,-77.0,-77.0,-77.0,-93.0,-92.0,-93.0,-95.0,-55.0,-55.0,-55.0,-60.0,-61.0,-68.0,-61.0,-69.0,-68.0,-88.0,-88.0,-89.0,-94.0,-95.0,,,,,,,,,,,,,,44.43493749999862,26.04762668946172
13:03:27:00,-55.0,-60.0,-60.0,-60.0,-81.0,-81.0,-81.0,-72.0,-74.0,-74.0,-88.0,-88.0,-88.0,,-53.0,-53.0,-53.0,-66.0,-66.0,-74.0,-66.0,-74.0,-73.0,-88.0,-88.0,-88.0,-93.0,-92.0,,,,,,,,,,,,,,44.43493749999769,26.0476434824362
13:03:28:00,-54.0,-44.0,-44.0,-44.0,-79.0,-76.0,-79.0,-83.0,-81.0,-83.0,-91.0,-92.0,-90.0,-83.0,-49.0,-49.0,-49.0,-70.0,-69.0,-75.0,-69.0,-76.0,-75.0,-87.0,-87.0,-86.0,-83.0,-82.0,,,,,,,,,,,,,,44.43493749999691,26.0476574765816
13:03:31:00,-53.0,-40.0,-39.0,-40.0,,,,-64.0,-64.0,-65.0,-89.0,-89.0,-90.0,-86.0,-53.0,-52.0,-52.0,-61.0,-62.0,-58.0,-61.0,-59.0,-59.0,-86.0,-85.0,-86.0,-85.0,,-94.0,-95.0,-97.0,,,,,,,,,,,44.43493749999599,26.04767431328779
