,32:cd:a7:a0:6d:d8,84:b2:61:56:8a:01,84:b2:61:56:8a:02,84:b2:61:56:8a:00,84:b2:61:6d:3d:22,84:b2:61:6d:3d:21,84:b2:61:6d:3d:20,84:b2:61:5e:44:22,84:b2:61:5e:44:21,84:b2:61:5e:44:20,84:b2:61:47:dd:42,84:b2:61:47:dd:41,84:b2:61:47:dd:40,84:b2:61:47:e2:c0,84:b2:61:56:8a:0f,84:b2:61:56:8a:0e,84:b2:61:56:8a:0d,84:b2:61:5e:44:2f,84:b2:61:5e:44:2d,84:b2:61:6d:3d:2e,84:b2:61:5e:44:2e,84:b2:61:6d:3d:2d,84:b2:61:6d:3d:2f,84:b2:61:47:dd:4e,84:b2:61:47:dd:4f,84:b2:61:47:dd:4d,84:b2:61:47:e2:c2,84:b2:61:47:e2:c1,84:b2:61:6d:5d:70,84:b2:61:6d:5d:72,84:b2:61:6d:5d:71,84:b2:61:47:e2:ce,84:b2:61:47:e2:cd,84:b2:61:6d:52:a1,84:b2:61:6d:52:a0,84:b2:61:6d:52:a2,84:b2:61:6d:52:af,84:b2:61:40:75:f1,84:b2:61:40:75:f2,84:b2:61:40:75:f0,c4:71:54:39:70:e4,lat,long
18:26:13:00,-42.0,-62.0,-62.0,-62.0,-75.0,-75.0,-75.0,-79.0,-79.0,-78.0,-95.0,-94.0,-94.0,-94.0,-56.0,-56.0,-56.0,-68.0,-68.0,-69.0,-69.0,-70.0,-70.0,-89.0,-89.0,-90.0,-94.0,-96.0,,,,,,,,,,,,,,44.43493749999949,26.047610659804263
18:26:14:00,-52.0,-55.0,-56.0,-56.0,-74.0,-76.0,-76.0,-80.0,-80.0,-80.0,-92.0,-94.0,-93.0,-97.0,-54.0,-54.0,-54.0,-62.0,-62.0,-74.0,-62.0,-74.0,-74.0,,-90.0,-91.0,-97.0,-96.0,,,,,,,,,,,,,,44.4349374999989,26.047621441657196
18:26:15:00,-48.0,-56.0,-56.0,-56.0,-78.0,-76.0,-76.0,-79.0,-79.0,-79.0,-95.0,-94.0,-95.0,-97.0,-56.0,-56.0,-56.0,-61.0,-62.0,-69.0,-62.0,-70.0,-69.0,-90.0,-90.0,-91.0,-96.0,-97.0,,,,,,,,,,,,,,44.43493749999823,26.04763368653442
18:26:16:00,-56.0,-61.0,-61.0,-61.0,-83.0,-83.0,-83.0,-73.0,-75.0,-75.0,-90.0,-90.0,-90.0,,-54.0,-54.0,-54.0,-67.0,-67.0,-75.0,-67.0,-75.0,-74.0,-90.0,-90.0,-90.0,-95.0,-94.0,,,,,,,,,,,,,,44.43493749999745,26.047647680679823
18:26:17:00,-55.0,-45.0,-45.0,-45.0,-81.0,-78.0,-81.0,-85.0,-83.0,-85.0,-93.0,-94.0,-92.0,-85.0,-50.0,-50.0,-50.0,-71.0,-70.0,-76.0,-70.0,-78.0,-76.0,-89.0,-89.0,-88.0,-85.0,-84.0,,,,,,,,,,,,,,44.43493749999653,26.047664473654304
18:26:21:00,-54.0,-41.0,-40.0,-41.0,,,,-65.0,-65.0,-66.0,-91.0,-91.0,-92.0,-88.0,-54.0,-53.0,-53.0,-62.0,-63.0,-59.0,-62.0,-60.0,-60.0,-88.0,-87.0,-88.0,-87.0,,-96.0,-97.0,-99.0,,,,,,,,,,,44.434937499995875,26.047676468636077
18:26:22:00,-53.0,-38.0,-38.0,-38.0,-75.0,-82.0,-75.0,-71.0,-71.0,-73.0,-92.0,-91.0,-91.0,-86.0,-48.0,-48.0,-48.0,-61.0,-62.0,-69.0,-61.0,-68.0,-67.0,-88.0,-87.0,-87.0,-88.0,-88.0,,,,-92.0,-94.0,,,,,,,,,44.4349374999957,26.04768210627751
18:26:25:00,-57.0,-41.0,-41.0,-41.0,-67.0,-67.0,-68.0,-68.0,-68.0,-70.0,-89.0,-89.0,-89.0,-81.0,-47.0,-47.0,-47.0,-61.0,-62.0,-67.0,-62.0,-67.0,-66.0,-88.0,-88.0,-88.0,-81.0,-81.0,,,,,,,,,,,,,,44.43493030542282,26.0476833657506
18:26:26:00,-52.0,-43.0,-43.0,-43.0,-67.0,-66.0,-66.0,-79.0,-76.0,-79.0,-90.0,-91.0,-90.0,-78.0,-54.0,-55.0,-54.0,-75.0,-76.0,-78.0,-76.0,-78.0,-78.0,-90.0,-90.0,-90.0,-81.0,-82.0,,,,,,,,,,,,,,44.434925509040916,26.0476833657506
18:26:27:00,-62.0,-47.0,-47.0,-47.0,-69.0,-70.0,-70.0,-80.0,-80.0,-80.0,-91.0,-91.0,-90.0,-89.0,-57.0,-56.0,-56.0,-76.0,-76.0,-69.0,-78.0,-69.0,-69.0,-92.0,-90.0,-90.0,-89.0,-89.0,-99.0,-98.0,-99.0,,,,,,,,,,,44.43491551657863,26.0476833657506
