,ax,ay,az,gx,gy,gz,mx,my,mz,a_total,g_total,m_total,lat,long
17:31:15:30,1.1351166,0.05567932,10.046326,0.031585693,-0.16894531,0.07827759,52.950287,-51.6746525,-261.37466500000005,10.110403353998654,0.1888585578402378,271.6448383894099,44.4349375,26.0476015
17:31:15:31,1.235672,0.13948059,10.0056305,0.03691101,-0.13058472,0.06123352,53.100586,-52.049255,-261.1496,10.082607888294625,0.1488769146922682,271.52883964647003,44.43493749999999,26.047601566288055
17:31:15:32,1.2404633,0.20651245,10.022385,0.026260376,-0.1252594,0.034606934,53.025054999999995,-53.0998225,-261.07483,10.100970135530392,0.13257889921439886,271.6475940474397,44.43493749999999,26.047601632576114
17:31:15:33,1.1399078,0.17298889,9.96492,0.015609741,-0.10183716,0.010101318,52.949524,-54.15039,-261.00006,10.031397986071745,0.10352056702071238,271.7663484484094,44.43493749999998,26.04760169886417
17:31:15:34,1.0800476,0.08441162,9.838028,0.006011963,-0.07839966,0.009048462,53.025054999999995,-52.574920000000006,-261.299895,9.897495797859213,0.07914875268628314,271.764588396562,44.43493749999998,26.047601765152226
17:31:15:35,0.9794922,0.06764221,9.782974,-0.0067596436,-0.08052063,0.021820068,53.100586,-50.99945,-261.59973,9.83211883182412,0.08369814815586152,271.7628283447146,44.434937499999975,26.047601831440286
17:31:15:36,0.9794922,0.05807495,9.826065,-0.018478394,-0.11248779,0.050582886,52.950287,-51.899719000000005,-261.37466500000005,9.874934483524605,0.12471400202059243,271.6889904022572,44.434937499999975,26.04760189772834
17:31:15:37,1.096817,0.08680725,9.84761,-0.014221191,-0.16680908,0.0708313,52.799988,-52.799988,-261.1496,9.908883173306744,0.18178169463286142,271.61515245979984,44.43493749999997,26.047601964016398
17:31:15:38,1.1997681,0.06524658,9.955353,0.0124053955,-0.18278503,0.0750885,52.950287,-52.2750855,-261.524965,10.027599611302215,0.19799632284934565,271.90454214775735,44.43493749999997,26.047602030304457
17:31:15:39,1.2955322,-0.018539429,9.828461,0.037979126,-0.1870575,0.0665741,53.100586,-51.750183,-261.90033,9.913495499579627,0.20215101560166318,272.19393183571486,44.43493749999996,26.047602096592513
17:31:15:40,1.3170776,0.08201599,9.763809,0.043304443,-0.20729065,0.052719116,52.799988,-51.450348,-261.9751,9.852582718024673,0.2182292224996098,272.1509031059743,44.43493749999996,26.04760216288057
17:31:15:41,1.4415741,0.23524475,9.845215,0.024124146,-0.19664001,0.018630981,52.49939,-51.150513,-262.04987,9.952976156628647,0.19898839515421943,272.10787437623367,44.434937499999954,26.04760222916863
17:31:15:42,1.4607391,0.19932556,9.835632,-0.017410278,-0.102890015,-0.022918701,52.2743225,-51.225281499999994,-261.450195,9.945508847543303,0.10683978576478384,271.5011721731175,44.434937499999954,26.047602295456684
17:31:15:43,1.3960876,0.05807495,9.696777,-0.06642151,0.013214111,-0.0463562,52.049255,-51.30005,-260.85052,9.796934085438172,0.08206903800240638,270.8944699700013,44.43493749999995,26.047602361744744
17:31:15:44,1.2572327,0.06285095,9.603409,-0.12820435,0.08778381,-0.05380249,52.2743225,-51.97525,-261.299895,9.685558771962834,0.16442950035574122,271.49955596952805,44.43493749999995,26.0476024280328
17:31:15:45,1.254837,0.13948059,9.835632,-0.17507935,0.10270691,-0.057006836,52.49939,-52.65045,-261.74927,9.916336398639356,0.2108346923750963,272.1046419690548,44.43493749999994,26.047602494320856
17:31:15:46,1.3194733,0.024551392,10.185196,-0.18040466,0.12294006,-0.07298279,53.099823,-52.275085000000004,-262.124635,10.27033739069355,0.23018815638234583,272.51069232038935,44.43493749999994,26.047602560608915
17:31:15:47,1.2452545,-0.028121948,10.173218,-0.15270996,0.16448975,-0.08470154,53.700256,-51.89972,-262.5,10.249186020814218,0.23989906339257705,272.91674267172385,44.43493749999993,26.04760262689697
17:31:15:48,0.8262634,-0.059249878,9.912247,-0.10157776,0.13252258,-0.076171875,53.625488000000004,-51.224518,-262.049865,9.946801613746581,0.1835277365345348,272.3418983881312,44.43493749999993,26.047602693185027
17:31:15:49,0.66825867,-0.013763428,9.744659,-0.090927124,0.09524536,-0.06340027,53.55072,-50.549316,-261.59973,9.767555380352931,0.1461472364313259,271.76705410453854,44.434937499999926,26.047602759473087
17:31:15:50,0.6490936,-0.013763428,9.770996,-0.08558655,0.008956909,-0.041030884,53.9253235,-50.774383,-261.75003000000004,9.79254179289153,0.09533528833311533,272.0279437819104,44.434937499999926,26.047602825761142
17:31:15:51,0.66586304,-0.131073,9.730301,-0.09197998,-0.08584595,-0.014389038,54.299927,-50.99945,-261.90033,9.753938244112891,0.12663683613691692,272.2888334592822,44.43493749999992,26.0476028920492
17:31:15:52,0.62275696,-0.22923279,9.720718,-0.095184326,-0.116744995,0.012237549,54.450226,-50.624847,-262.125395,9.74334297552763,0.15112646154513015,272.4657908924505,44.43493749999992,26.047602958337258
17:31:15:53,0.65148926,-0.2220459,9.706345,-0.11329651,-0.114608765,0.04953003,54.600525,-50.250244,-262.35046,9.73071815934606,0.16859564663657903,272.64274832561887,44.43493749999991,26.047603024625314
17:31:15:54,0.7065582,-0.17895508,9.723114,-0.13246155,-0.11781311,0.09320068,53.5499575,-50.9254455,-262.049865,9.750394621123858,0.20028069769385418,272.2731055481835,44.43493749999991,26.04760309091337
17:31:15:55,0.83584595,-0.04008484,9.675232,-0.15377808,-0.11141968,0.11982727,52.49939,-51.600647,-261.74927,9.711352094345731,0.2245453575904915,271.90346277074815,44.434937499999904,26.04760315720143
17:31:15:56,1.0656891,-0.04008484,9.754242,-0.19212341,-0.095443726,0.11450195,53.025054999999995,-51.0749815,-261.8248,9.812366536509968,0.2431699119064562,271.979941524572,44.434937499999904,26.047603223489485
